experiment,case,protocol,active_profile,R_neck_Mohm,R_in_d_Mohm,SMI,path_length_um,branch_order,membrane_area_um2,dendritic_capacitance_pF,A_h_mV,V_h_peak_mV,V_h_min_mV,A_d_mV,Gamma_h_to_d,V_d_peak_mV,V_d_min_mV,A_s_mV,Gamma_h_to_s,V_s_peak_mV,V_s_min_mV,local_voltage_isolation,max_voltage_mV,min_voltage_mV,min_gate,max_gate,Zin_50Hz_Mohm,transfer_gain_50Hz,electrotonic_distance_50Hz,active_frozen_Zin_50Hz_Mohm,active_frozen_transfer_gain_50Hz,active_profile_channel_count,leak_scale,soma_coupling_scale
iso_smi,cable_L80.0_r0.45,AMPA,none,206.50567475812232,258.1320934476529,0.8,73.33333333333334,0,1482.8317324943823,222.26194671058462,21.752082894954437,-48.24791710504559,-70.00000000000001,7.869179479586971,0.3617667106910616,-62.130820520413046,-70.00000000000001,1.0502637860203419,0.048283366291508506,-68.94973621397966,-70.0,0.6382332893089384,-48.24791710504559,-70.00000000000001,0.0,0.0,116.70962764025039,0.12200751106216444,2.103672670060679,116.70962764025039,0.12200751106216444,0,,
iso_smi,cable_L160.0_r0.45,AMPA,none,305.370306093363,381.71288261670367,0.8,152.0,0,1709.0264035528476,224.52389342116928,28.99697811416932,-41.003021885830684,-70.0,12.391263259898581,0.42732946899192964,-57.60873674010143,-70.0,0.9258085307306124,0.03192775906114913,-69.0741914692694,-70.0,0.5726705310080704,-41.003021885830684,-70.0,0.0,0.0,235.16318121556728,0.059355353520657426,2.8242129594560073,235.16318121556728,0.059355353520657426,0,,
iso_smi,cable_L180.0_r0.35,AMPA,none,469.6269375953572,587.0336719941965,0.8,171.0,0,1652.4777357882313,223.9584067435231,36.813595260750965,-33.18640473924904,-70.0,17.077112040684238,0.4638805832390705,-52.92288795931574,-69.99999999999999,0.7905768255003637,0.021475132214082926,-69.20942317449965,-70.0,0.5361194167609296,-33.18640473924904,-70.0,0.0,0.0,429.4825071086477,0.03203963737784531,3.4407814746411156,429.4825071086477,0.03203963737784531,0,,
iso_smi,branch_asymmetric,AMPA,none,413.8011362894492,517.2514203618114,0.8,218.0,1,2111.150263212341,228.54513201776422,33.80949201076045,-36.190507989239734,-70.00000000000018,14.757857755390013,0.4365004286575223,-55.24214224461016,-70.00000000000017,0.8188153525201664,0.02421850503579185,-69.18118464747984,-70.0,0.5634995713424777,-36.190507989239734,-70.00000000000018,0.0,0.0,353.12530832852184,0.03726184340845851,3.289785440838769,353.12530832852184,0.03726184340845851,0,,
iso_smi,cable_L80.0_r0.45,AMPA_NMDA,none,206.50567475812232,258.1320934476529,0.8,73.33333333333334,0,1482.8317324943823,222.26194671058462,22.172146591626827,-47.827853408373194,-70.00000000000001,8.029167498013468,0.3621285591285795,-61.97083250198655,-70.00000000000001,1.137608309875096,0.05130799154578505,-68.86239169012491,-70.0,0.6378714408714206,-47.827853408373194,-70.00000000000001,0.0,0.0,116.70962764025039,0.12200751106216444,2.103672670060679,116.70962764025039,0.12200751106216444,0,,
iso_smi,cable_L160.0_r0.45,AMPA_NMDA,none,305.370306093363,381.71288261670367,0.8,152.0,0,1709.0264035528476,224.52389342116928,29.801285374178796,-40.19871462582121,-70.0,12.79444894675056,0.4293254061395707,-57.205551053249444,-70.0,1.0270307877338487,0.034462633904499815,-68.97296921226616,-70.0,0.5706745938604293,-40.19871462582121,-70.0,0.0,0.0,235.16318121556728,0.059355353520657426,2.8242129594560073,235.16318121556728,0.059355353520657426,0,,
iso_smi,cable_L180.0_r0.35,AMPA_NMDA,none,469.6269375953572,587.0336719941965,0.8,171.0,0,1652.4777357882313,223.9584067435231,38.117236985374554,-31.882763014625453,-70.0,17.862117440826214,0.46860997421402406,-52.13788255917377,-69.99999999999999,0.9108251811266177,0.023895362129109674,-69.08917481887339,-70.0,0.5313900257859759,-31.882763014625453,-70.0,0.0,0.0,429.4825071086477,0.03203963737784531,3.4407814746411156,429.4825071086477,0.03203963737784531,0,,
iso_smi,branch_asymmetric,AMPA_NMDA,none,413.8011362894492,517.2514203618114,0.8,218.0,1,2111.150263212341,228.54513201776422,34.91539392515877,-35.084606074841425,-70.00000000000018,15.441012955706517,0.44224083476773507,-54.55898704429366,-70.00000000000017,0.9331793783166481,0.02672687526644896,-69.06682062168336,-70.0,0.5577591652322649,-35.084606074841425,-70.00000000000018,0.0,0.0,353.12530832852184,0.03726184340845851,3.289785440838769,353.12530832852184,0.03726184340845851,0,,
iso_smi,cable_L80.0_r0.45,AMPA_NMDA,hcn,206.50567475812232,258.1320934476529,0.8,73.33333333333334,0,1482.8317324943823,222.26194671058462,22.052934635197715,-47.71685584085506,-69.76973874039513,7.982176334477363,0.3619552892401614,-61.86226062953389,-69.84438485915945,1.151360638463883,0.0522089534798805,-68.77619517794646,-69.92750357957135,0.6380447107598386,-47.71685584085506,-70.0,0.16124781957983933,0.18242552380635635,116.70962764025039,0.12200751106216444,2.103672670060679,116.58877123358036,0.12200405773637288,1,,
iso_smi,cable_L160.0_r0.45,AMPA_NMDA,hcn,305.370306093363,381.71288261670367,0.8,152.0,0,1709.0264035528476,224.52389342116928,29.56561474514266,-40.082798096380905,-69.64836137070441,12.679241586207695,0.42885093699229676,-57.07899374199176,-69.75818310460767,1.039598169059075,0.035162406668032185,-68.88940257924635,-69.92894842910108,0.5711490630077032,-40.082798096380905,-70.0,0.15350731974575232,0.18242552380635635,235.16318121556728,0.059355353520657426,2.8242129594560073,234.66991992974727,0.05935413216401052,1,,
