profile,frequency_hz,method,Zin_Mohm,Ztransfer_Mohm,transfer_gain,phase_rad
none,5.0,exploratory_frozen_gate_operating_point,445.9423094468201,99.56191670832303,0.22326187625441285,-0.6453121660241429
none,50.0,exploratory_frozen_gate_operating_point,353.12530832852184,13.158099942501012,0.03726184340845851,-1.6039715643298926
none,150.0,exploratory_frozen_gate_operating_point,282.4327041964531,3.287209610035811,0.01163891277884487,-2.013599302209843
hcn,5.0,exploratory_frozen_gate_operating_point,444.16138685803276,99.10309645036591,0.22312407017506503,-0.6448640401173695
hcn,50.0,exploratory_frozen_gate_operating_point,352.0322694685799,13.11713831224011,0.037261181573045705,-1.6038441288218022
hcn,150.0,exploratory_frozen_gate_operating_point,281.8109067118195,3.2799654537741474,0.011638887550680387,-2.0135560421449616
na_kdr_hcn,5.0,exploratory_frozen_gate_operating_point,443.09851440934676,98.82930278954788,0.22304137697524892,-0.6445952034417382
na_kdr_hcn,50.0,exploratory_frozen_gate_operating_point,351.3790205460539,13.092657736519781,0.0372607838571961,-1.603767605165744
na_kdr_hcn,150.0,exploratory_frozen_gate_operating_point,281.4385900339944,3.2756278351940096,0.011638872390592754,-2.013530064291314
full_restrained,5.0,exploratory_frozen_gate_operating_point,442.7946652539338,98.7510367127407,0.22301767492187147,-0.6445181574183299
full_restrained,50.0,exploratory_frozen_gate_operating_point,351.1921471106122,13.085654623720451,0.03726066978257052,-1.6037456640553716
full_restrained,150.0,exploratory_frozen_gate_operating_point,281.33198543719385,3.2743858545935947,0.011638868042342052,-2.0135226157471977
