frequency_hz,Z_in_abs_Mohm,Z_in_phase_rad,Z_transfer_abs_Mohm,Z_transfer_phase_rad,gain_abs,gain_phase_rad,dynamic_SMI_abs,dynamic_SMI_phase_rad
0.5,515.9016301418217,-0.032114168579273975,142.00132050886066,-0.10633512235528145,0.27524883080874235,-0.07422095377600747,0.03213527334823169,0.032114168579273975
0.7506553644540866,514.2434798304379,-0.047786539760416885,141.08123565309353,-0.1589771997362584,0.274347154969495,-0.11119065997584153,0.032238891800577145,0.04778653976041689
1.1269669523673955,510.6400734774871,-0.07034368457234598,139.0712341560949,-0.236480064676534,0.27234688654380784,-0.16613638010418805,0.03246639025508576,0.07034368457234598
1.691927576714117,503.13851232322713,-0.10119400635132657,134.83817167774475,-0.3479997905104565,0.26799413754898915,-0.24680578415912993,0.032950449030137614,0.10119400635132657
2.5401090234565107,488.8225478442419,-0.139034482572353,126.55688284283626,-0.501237628848413,0.25890148357714926,-0.3622031462760601,0.03391545659773528,0.139034482572353
3.8134929295117233,465.50651529780873,-0.17613732726344544,112.36794980281786,-0.6950962351592637,0.24138856516525928,-0.5189589078958182,0.03561419520583841,0.17613732726344547
5.725237849691408,435.74027711869707,-0.19882237830240462,92.44082130805397,-0.9121989309123124,0.21214660696347057,-0.7133765526099078,0.038047067888768264,0.1988223783024046
8.595361009292873,407.4880590256741,-0.1998758962761279,70.27401152209877,-1.1248136151894175,0.17245661551439745,-0.9249377189132896,0.04068497110086167,0.19987589627612787
12.904307702090374,387.0418526131456,-0.1893811825896253,50.237511936290616,-1.3142622001649247,0.12979865509920396,-1.1248810175752992,0.04283423044167881,0.18938118258962533
19.373375602280657,374.3491395238595,-0.18528798918538844,34.5355867950267,-1.4808819052612112,0.09225501850746354,-1.2955939160758227,0.04428657142498683,0.18528798918538844
29.0854566468718,365.7489247994718,-0.20085152045409488,23.16641425046367,-1.6385217766366693,0.06333966467068922,-1.4376702561825743,0.0453279252003141,0.20085152045409485
43.66630811914218,356.9108340240785,-0.24357443804840315,15.220212347507697,-1.8066746017432251,0.04264429907017305,-1.563100163694822,0.04645036890162687,0.24357443804840315
65.5566968710782,343.18576572274975,-0.31739391163031666,9.722201931699935,-2.005533722176599,0.02832926916774932,-1.6881398105462828,0.048308063915445676,0.3173939116303166
98.42097236433065,319.6801450961604,-0.42037669592406846,5.927158245192091,-2.250619337888171,0.01854090201131881,-1.8302426419641027,0.051860086275983375,0.42037669592406846
147.76046176014438,283.95724086327687,-0.5386377503309389,3.3625517166330656,-2.5448858373494194,0.011841753731689861,-2.0062480870184807,0.058384282982198187,0.5386377503309389
221.83436654893075,240.34416306748935,-0.6483497022186309,1.7423889948311522,-2.876474550558664,0.007249558186032935,-2.228124848340033,0.06897874986358804,0.648349702218631
333.042314540458,197.67338113312297,-0.7361301924610203,0.8234775548902431,3.05085369273618,0.004165849494604804,-2.496201421982386,0.08386885381517753,0.7361301924610202
500.0,160.67676651110537,-0.812586234915905,0.3576917342003239,2.6700040583288174,0.0022261571599127353,-2.8005950139348643,0.10318006931176271,0.812586234915905
