target,predictor,pearson,spearman,abs_spearman,n
Gamma_h_to_d,R_neck_Mohm,-0.4739045360067368,-0.5802398188628642,0.5802398188628642,24
Gamma_h_to_d,R_in_d_Mohm,0.4811642965212213,0.6065368689722637,0.6065368689722637,24
Gamma_h_to_d,SMI,-0.8539743307633041,-0.9423418891382007,0.9423418891382007,24
Gamma_h_to_d,path_length_um,0.48116047590276534,0.3704696558378628,0.3704696558378628,24
Gamma_h_to_d,branch_order,-0.006613274021008488,0.08077484696714896,0.08077484696714896,24
Gamma_h_to_d,membrane_area_um2,0.02227805638667927,-0.055086655344388585,0.055086655344388585,24
Gamma_h_to_d,dendritic_capacitance_pF,0.12199607537528008,-0.055086655344388585,0.055086655344388585,24
Gamma_h_to_d,Zin_50Hz_Mohm,0.4928867106870415,0.5943364147113274,0.5943364147113274,24
Gamma_h_to_d,Ztransfer_50Hz_Mohm,-0.16163645376618269,-0.19695019021225804,0.19695019021225804,24
Gamma_h_to_d,transfer_gain_50Hz,-0.6449290452490993,-0.5647067400776248,0.5647067400776248,24
Gamma_h_to_d,electrotonic_distance_50Hz,0.670641366966689,0.5647067400776248,0.5647067400776248,24
Gamma_h_to_s,R_neck_Mohm,-0.5293264946445608,-0.6334046495567031,0.6334046495567031,24
Gamma_h_to_s,R_in_d_Mohm,-0.7065089386251031,-0.6400881181898386,0.6400881181898386,24
Gamma_h_to_s,SMI,-0.14462992221874973,-0.12101469786336652,0.12101469786336652,24
Gamma_h_to_s,path_length_um,-0.720816917478241,-0.5579634450728788,0.5579634450728788,24
Gamma_h_to_s,branch_order,-0.31149285431225626,-0.43618417362260437,0.43618417362260437,24
Gamma_h_to_s,membrane_area_um2,-0.07950244347353747,-0.0835184774576214,0.0835184774576214,24
Gamma_h_to_s,dendritic_capacitance_pF,-0.19164361881172562,-0.0835184774576214,0.0835184774576214,24
Gamma_h_to_s,Zin_50Hz_Mohm,-0.7733073561188587,-0.7498922065382656,0.7498922065382656,24
Gamma_h_to_s,Ztransfer_50Hz_Mohm,0.22320023585299814,0.2688457242499186,0.2688457242499186,24
Gamma_h_to_s,transfer_gain_50Hz,0.8225633790210686,0.8161232439547772,0.8161232439547772,24
Gamma_h_to_s,electrotonic_distance_50Hz,-0.9152418068053485,-0.8161232439547772,0.8161232439547772,24
A_h_mV,R_neck_Mohm,0.8108968557782671,0.6768511778656465,0.6768511778656465,24
A_h_mV,R_in_d_Mohm,0.8074414222987154,0.7555567031594147,0.7555567031594147,24
A_h_mV,SMI,0.41136044118930726,0.04761950204731751,0.04761950204731751,24
A_h_mV,path_length_um,0.5433146139388342,0.5651921212843493,0.5651921212843493,24
A_h_mV,branch_order,0.3537928903122923,0.43618417362260437,0.43618417362260437,24
A_h_mV,membrane_area_um2,-0.15811343590570442,-0.09640164685268003,0.09640164685268003,24
A_h_mV,dendritic_capacitance_pF,-0.09167304478089434,-0.09640164685268003,0.09640164685268003,24
A_h_mV,Zin_50Hz_Mohm,0.8390591964375413,0.7756003065880958,0.7756003065880958,24
A_h_mV,Ztransfer_50Hz_Mohm,0.06252174229411729,-0.0531591221369369,0.0531591221369369,24
A_h_mV,transfer_gain_50Hz,-0.5394926276029122,-0.6875827437056264,0.6875827437056264,24
A_h_mV,electrotonic_distance_50Hz,0.7328926790130286,0.6875827437056264,0.6875827437056264,24
