experiment,case,R_neck_Mohm,R_in_d_Mohm,SMI,path_length_um,branch_order,membrane_area_um2,dendritic_capacitance_pF,A_h_mV,A_d_mV,Gamma_h_to_d,A_s_mV,Gamma_h_to_s,Zin_50Hz_Mohm,Ztransfer_50Hz_Mohm,transfer_gain_50Hz,electrotonic_distance_50Hz,leak_scale,area_scale,coupling_scale
iso_smi,cable_L80.0_r0.45,206.50567475812232,258.1320934476529,0.8,73.33333333333334,0,1482.8317324943823,222.26194671058462,21.752082894954437,7.869179479586971,0.3617667106910616,1.0502637860203419,0.048283366291508506,116.70962764025039,14.239451185378941,0.12200751106216444,2.103672670060679,,,
iso_smi,cable_L160.0_r0.45,305.370306093363,381.71288261670367,0.8,152.0,0,1709.0264035528476,224.52389342116928,28.99697811416932,12.391263259898581,0.42732946899192964,0.9258085307306124,0.03192775906114913,235.16318121556728,13.958193756092426,0.059355353520657426,2.8242129594560073,,,
iso_smi,cable_L160.0_r0.3,544.232876187261,680.2910952340762,0.7999999999999999,152.0,0,1558.2299561805376,223.01592894744618,39.97771720401353,19.105449317061797,0.47790245800087156,0.7436169417654043,0.018600785481837103,522.6323695598578,13.872135815242292,0.026542817902620353,3.628996080031558,,,
iso_smi,cable_L220.0_r0.65,242.0585156479287,302.5731445599108,0.8,212.14285714285714,0,2155.1325603625983,228.9849549892668,23.575952001447334,8.928261972993706,0.3787020762701586,0.9833615816034758,0.041710365780482886,155.04042006283987,13.593053696077721,0.08767425740054294,2.4341269529028806,,,
iso_smi,branch_symmetric,335.07836484665495,418.8479560583187,0.8,190.0,1,2035.752039526186,227.79114978090269,29.889764907266553,12.509196982730813,0.4185110529152968,0.887662627524502,0.029697879199735717,263.6422513262308,13.412728477273442,0.05087473047207649,2.978388933079574,,,
iso_smi,branch_asymmetric,413.8011362894492,517.2514203618114,0.8,218.0,1,2111.150263212341,228.54513201776422,33.80949201076045,14.757857755390013,0.4365004286575223,0.8188153525201664,0.02421850503579185,353.12530832852184,13.158099942501012,0.03726184340845851,3.289785440838769,,,
iso_neck_resistance,cable_L80.0_r0.45,100.0,258.1320934476529,0.3873985549971112,73.33333333333334,0,1482.8317324943823,222.26194671058462,16.23658431893675,8.76075876561818,0.5395690739831589,1.1239990814105316,0.06922632613681007,116.70962764025039,14.239451185378941,0.12200751106216444,2.103672670060679,,,
iso_neck_resistance,cable_L160.0_r0.45,100.0,381.71288261670367,0.2619770108739422,152.0,0,1709.0264035528476,224.52389342116928,21.092094918482353,14.743760618699115,0.6990183135284306,1.0381906681637547,0.04922179006761535,235.16318121556728,13.958193756092426,0.059355353520657426,2.8242129594560073,,,
iso_neck_resistance,cable_L160.0_r0.3,100.0,680.2910952340762,0.14699589734537352,152.0,0,1558.2299561805376,223.01592894744618,30.28873555815065,25.36652024650677,0.8374902345397077,0.9001208008803802,0.029718005202041493,522.6323695598578,13.872135815242292,0.026542817902620353,3.628996080031558,,,
iso_neck_resistance,cable_L220.0_r0.65,100.0,302.5731445599108,0.33049859777029733,212.14285714285714,0,2155.1325603625983,228.9849549892668,16.874338623286175,10.16255964572954,0.6022493605589647,1.0726809157888124,0.06356876792246773,155.04042006283987,13.593053696077721,0.08767425740054294,2.4341269529028806,,,
iso_neck_resistance,branch_symmetric,100.0,418.8479560583187,0.2387501205475058,190.0,1,2035.752039526186,227.79114978090269,21.16233846594949,15.098181810794621,0.7134458148416734,1.0085969458598354,0.04765999501816316,263.6422513262308,13.412728477273442,0.05087473047207649,2.978388933079574,,,
iso_neck_resistance,branch_asymmetric,100.0,517.2514203618114,0.19332958028428643,218.0,1,2111.150263212341,228.54513201776422,24.122096351077698,18.557895208273134,0.7693317752395109,0.9574378405901307,0.03969131980303012,353.12530832852184,13.158099942501012,0.03726184340845851,3.289785440838769,,,
location,segment_1,100.0,158.55679622886424,0.6306888280944948,10.0,0,1935.2210746113126,226.78584013175396,9.86884059121962,1.5716598768777401,0.15925476375371364,1.1833003526191406,0.11990267161392106,21.586472867031087,13.88273385495239,0.6431219190123192,0.4414209630566969,,,
location,segment_3,100.0,221.3904447468937,0.45169067759146403,50.0,0,1935.2210746113126,226.78584013175396,13.001838349972768,5.316976315557484,0.40894034923673855,1.133254089999605,0.08716106595818265,76.81919706719721,13.567580171602158,0.17661705263248176,1.7337714347011388,,,
location,segment_5,100.0,284.22080296117633,0.351839129853066,90.0,0,1935.2210746113126,226.78584013175396,15.208868976862542,8.382622529384536,0.551166726607819,1.092836193997679,0.07185519157671917,134.20289742814685,13.39616087061301,0.09982020602636694,2.3043846509639727,,,
location,segment_7,100.0,347.0532324313568,0.2881402351432611,130.0,0,1935.2210746113126,226.78584013175396,17.363483896339687,11.2784552790529,0.649550248463124,1.0574594440293934,0.06090134044195538,191.98242382061343,13.317526837911124,0.06936846911754223,2.6683228501931158,,,
