scenario,protocol,evidence_grade,reference_ids,n_spines,event_pattern,neck_length_um,neck_radius_um,head_radius_um,rho_ohm_cm,R_neck_Mohm,R_in_d_Mohm,SMI,synaptic_g_scale,ampa_g_max_nS,nmda_fraction,dendritic_leak_scale,hcn_scale,kdr_scale,ka_scale,cluster_spine_count,Zin_50Hz_Mohm,Ztransfer_50Hz_Mohm,transfer_gain_50Hz,electrotonic_distance_50Hz,dynamic_SMI_abs_50Hz,active_frozen_Zin_50Hz_Mohm,active_frozen_Ztransfer_50Hz_Mohm,clinical_claim,exploratory_only,A_h_mV,A_d_mV,A_s_mV,Gamma_h_to_d,Gamma_h_to_s,local_voltage_isolation,latency_head_ms,half_width_head_ms,head_voltage_integral_mV_ms,soma_voltage_integral_mV_ms,max_synaptic_conductance_nS,driving_force_reduction_mV,max_voltage_mV,min_voltage_mV,threshold_crossed_minus20mV,soma_crossed_0mV,finite,min_gate,max_gate,sample_index,uncertainty_seed
matched_baseline,isolated_single_spine,control,LondonHausser2005;Magee1998HCN,1,synchronous,0.668509495279613,0.12954298317259405,0.29852368172254357,100.0,12.680311418374753,309.9125936262381,0.040915766829622634,0.9621448205043369,1.3470027487060716,0.2882222474031133,1.196478912475739,0.8371462524641667,0.8403801728324011,1.0878466678668068,1,166.1017281299456,14.042223199809943,0.08453989827742403,2.4705316870920995,0.07634063511039826,165.72569063253442,14.009925088594809,none,True,13.233410558721161,12.307130717566624,1.151645296102774,0.9300044507011767,0.08702558505175446,0.06999554929882335,1.1800000000000006,4.060000000000001,104.37076327101477,39.06272410679543,1.3593321838915486,13.233410558721161,-56.65997442993657,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,0,20260601
matched_baseline,isolated_single_spine,control,LondonHausser2005;Magee1998HCN,1,synchronous,0.6100363753979643,0.12226177154685353,0.36867299617818905,100.0,12.990458823442044,309.92748711358473,0.04191451021148439,0.8021620079984657,1.1230268111978519,0.3391575615730202,0.9963615686014853,0.9306420164915181,1.2387094002164551,0.9310664403121552,1,166.1043974588534,14.042547762373612,0.08454049367267452,2.470524644344639,0.0782065918914638,165.65451285040007,14.00390656073523,none,True,11.349559800937895,10.534400648494778,0.9793427524786846,0.9281770247709735,0.08628905170381626,0.07182297522902648,1.1800000000000006,4.02,89.66149646299647,33.48631010849706,1.1339772141077826,11.349559800937895,-58.546320371826496,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,1,20260601
matched_baseline,isolated_single_spine,control,LondonHausser2005;Magee1998HCN,1,synchronous,0.8883118237122576,0.12587553493119819,0.3800487108966225,100.0,17.845672214349605,309.94047644613795,0.05757774014860192,0.9052642404814406,1.2673699366740168,0.4930678571387408,0.8218472052124592,1.2561103740955413,1.2214884655806857,1.2338217018903452,1,166.10672535077913,14.042830810310399,0.08454101289791352,2.4705185026293264,0.10743497698039411,165.56708946463712,13.996480399825975,none,True,12.914382599044123,11.674380952777355,1.1131330181153172,0.9039828937421641,0.08619328175995865,0.09601710625783588,1.1800000000000006,4.1,108.39048268903875,39.566103445817284,1.2870369706162657,12.914382599044123,-56.921439316802434,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,2,20260601
matched_baseline,isolated_single_spine,control,LondonHausser2005;Magee1998HCN,1,synchronous,0.8457348720383899,0.11227189938425293,0.34341617522839735,100.0,21.35709726308543,309.9371747834714,0.06890782713627672,1.1158533369608412,1.5621946717451776,0.25813129499377113,0.8662041635432183,1.0390175042862992,0.8993076039572196,0.9103858309072335,1,166.10613365515908,14.042758866103824,0.0845408809241023,2.4705200636931193,0.1285750067930866,165.67947812459624,14.006112697660656,none,True,15.524007822876829,13.780314229800569,1.30188983749302,0.8876776143782484,0.08386299803163591,0.11232238562175156,1.1800000000000006,4.08,120.60399846595746,44.06105204352136,1.5767315249641145,15.524007822876829,-54.328517118816336,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,3,20260601
matched_baseline,isolated_single_spine,control,LondonHausser2005;Magee1998HCN,1,synchronous,0.7591425516373709,0.11671899909866768,0.35206199936768223,100.0,17.737416059058127,309.9202713415902,0.057232190660765694,1.1363894027090056,1.5909451637926078,0.4043210641747469,1.093314069977784,1.1685696411798134,1.0845733099480235,1.0408647509262163,1,166.103104215338,14.042390517361856,0.08454020521589492,2.4705280564050516,0.10678557840835493,165.61262930033692,14.000263063835266,none,True,15.582683427816962,14.10235986011791,1.3484915193634066,0.9050020123583787,0.08653782422071075,0.09499798764162126,1.1800000000000006,4.1400000000000015,128.7727995008799,47.046219753966554,1.6142176042986547,15.582683427816962,-54.258791623162246,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,4,20260601
matched_baseline,isolated_single_spine,control,LondonHausser2005;Magee1998HCN,1,synchronous,0.7243839401190721,0.13681434733139805,0.3987850841125445,100.0,12.318438356624922,309.9051172884997,0.03974906405032779,0.8390053341268076,1.1746074677775304,0.4594394666113226,1.296943390714476,1.086145847480343,0.7134856271774541,0.8491236051260346,1,166.10038808785953,14.042060264918252,0.08453959937463025,2.4705352227400983,0.07416261032520303,165.69154938545003,14.006944933011248,none,True,11.809299396020517,11.004038001449134,1.0487385004889633,0.9318112474273673,0.08880615736123734,0.06818875257263268,1.1800000000000006,4.1,99.53908516845459,37.25936011824939,1.1905725025045024,11.809299396020517,-58.02454196930781,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,5,20260601
matched_baseline,isolated_single_spine,control,LondonHausser2005;Magee1998HCN,1,synchronous,0.7984737407410045,0.1081013419834262,0.3120177204414721,100.0,21.74946581103335,309.94922502355917,0.07017106046766267,1.007575706630031,1.4106059892820433,0.3849944615991286,0.7043175427139134,0.7470311950764208,0.9253273653025671,1.1622146573477887,1,166.10829314931732,14.04302143892551,0.0845413625814698,2.4705143663785165,0.13093546022703645,165.7389735613128,14.011299813967694,none,True,14.373065540202589,12.729284612907051,1.204945762432616,0.8856346321737869,0.08383359548888777,0.1143653678262131,1.1800000000000006,4.1,116.13501511255134,41.5460501058054,1.4290091531838085,14.373065540202589,-55.54259337464395,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,6,20260601
matched_baseline,isolated_single_spine,control,LondonHausser2005;Magee1998HCN,1,synchronous,0.6752108311849921,0.10501208810212737,0.3344228260101175,100.0,19.489959608705465,309.92228012164895,0.06288660370288762,1.2259037939277384,1.7162653114988338,0.23591680294568115,1.0663232039175243,0.9031140034688803,1.0538861564012338,0.7626833954950796,1,166.10346424264708,14.042434292936381,0.08454028552001135,2.4705271065128898,0.1173362620555232,165.6939592303008,14.007261458972419,none,True,16.62427580301421,14.907974352225386,1.404945505955879,0.8967593252707202,0.08451168174803399,0.10324067472927978,1.1800000000000006,4.1,128.4339448604216,47.00763443872623,1.7316731195596988,16.62427580301421,-53.262015300752566,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,7,20260601
morphology_dominant,isolated_single_spine,limited_conflicting,Wong2005SpinesEpilepsy;Isokawa1998SpineRemodeling;PilocarpineSpineLoss2008,1,synchronous,0.9130794845455138,0.11258022690771746,0.3478023305059401,100.0,22.93160608720839,309.9399208176387,0.07398726187550653,0.7948917113129718,1.1128483958381603,0.22806769661634582,0.829311851618804,0.9688323026111156,0.8387824367754266,1.1597507913099872,1,166.10662577648336,14.042818703080213,0.08454099068857451,2.4705187653342686,0.13805353025511247,165.6955400923449,14.007509821847929,none,True,11.751343187583704,10.337034845765814,0.9603774396789028,0.8796470906140987,0.08172490789764557,0.12035290938590126,1.1600000000000013,3.9600000000000017,88.31932265350301,32.3829923925996,1.1203231209492914,11.751343187583704,-58.115199974617994,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,0,20260702
morphology_dominant,isolated_single_spine,limited_conflicting,Wong2005SpinesEpilepsy;Isokawa1998SpineRemodeling;PilocarpineSpineLoss2008,1,synchronous,0.7314153313165762,0.08969830171794613,0.4277916032511646,100.0,28.936483050946688,309.91760019282236,0.09336831155424277,1.2336307573559364,1.727083060298311,0.29243252956189336,1.1292054279055028,0.8923743325741731,1.019424188662993,0.8101935207235289,1,166.10262546827832,14.042332306719972,0.08454009843090485,2.4705293195325453,0.1742084628064646,165.698753256713,14.007643356989458,none,True,17.41117348196778,14.867649173938533,1.4155776474513437,0.8539142516348196,0.08130282826240369,0.1460857483651804,1.1800000000000006,4.119999999999998,136.23381353193858,48.00374280446356,1.7472040705237395,17.41117348196778,-52.47406818643673,-70.0,False,False,True,0.028905534475191907,0.7540796658225246,1,20260702
