scenario,metric,n,median,p05,p95,iqr
matched_baseline,SMI,8,0.0574049654046838,0.040157410023080986,0.06972892880167758,0.02272708519521594
matched_baseline,A_h_mV,8,13.803238049461875,11.510468659216812,16.259718471695173,2.900564925823641
matched_baseline,Gamma_h_to_d,8,0.9044924530502714,0.8863496759453484,0.9311788685732005,0.034144983705922005
matched_baseline,Gamma_h_to_s,8,0.08624116673188745,0.08384388637884962,0.08818295705291833,0.0023102536095372106
matched_baseline,local_voltage_isolation,8,0.09550754694972857,0.06882113142679941,0.11365032405465156,0.03414498370592203
matched_baseline,active_frozen_Zin_50Hz_Mohm,8,165.68551375502312,165.58302840713205,165.73432453624036,0.057850117974936666
morphology_dominant,SMI,8,0.0920133769795608,0.07267552017762535,0.10529862775330887,0.016975267963214094
morphology_dominant,A_h_mV,8,14.437341907074977,12.207167211184302,17.02233077021252,2.965210074402373
morphology_dominant,Gamma_h_to_d,8,0.8552534488023062,0.8374352943463651,0.8821588391516152,0.023344221085619066
morphology_dominant,Gamma_h_to_s,8,0.08151386808002463,0.07948373033443554,0.08434216025886722,0.0027788685726734402
morphology_dominant,local_voltage_isolation,8,0.1447465511976938,0.11784116084838483,0.16256470565363493,0.023344221085619093
morphology_dominant,active_frozen_Zin_50Hz_Mohm,8,165.66740591036222,165.62325362103778,165.7193857107469,0.06481550484744503
hcn_reduction,SMI,8,0.0518551076830132,0.03811013668321181,0.07892308015768497,0.01818150848913848
hcn_reduction,A_h_mV,8,14.398451142682685,11.605515236657306,16.40200492008793,2.6233682224649915
hcn_reduction,Gamma_h_to_d,8,0.9133120130183183,0.8736364744151106,0.934433615232272,0.028051405254556516
hcn_reduction,Gamma_h_to_s,8,0.08497535448307651,0.08193298415469813,0.08772896399464393,0.0023493503672589316
hcn_reduction,local_voltage_isolation,8,0.08668798698168173,0.06556638476772805,0.12636352558488942,0.028051405254556516
hcn_reduction,active_frozen_Zin_50Hz_Mohm,8,165.82163878657047,165.77633895211594,165.85869409836678,0.046973847726121676
potassium_loss_of_function,SMI,8,0.05372980038012252,0.03895375991254932,0.06941926393649071,0.00952802999857115
potassium_loss_of_function,A_h_mV,8,14.136198863058908,11.535411813112857,16.050984400410403,2.731186668205641
potassium_loss_of_function,Gamma_h_to_d,8,0.9097850070851812,0.8871082492534299,0.9335389987293047,0.014316645366784786
potassium_loss_of_function,Gamma_h_to_s,8,0.08629140714124761,0.0848455136789066,0.08829747821964493,0.001397010557088893
potassium_loss_of_function,local_voltage_isolation,8,0.09021499291481888,0.06646100127069526,0.11289175074657008,0.014316645366784786
potassium_loss_of_function,active_frozen_Zin_50Hz_Mohm,8,165.72578516501892,165.64652003117268,165.79273947699141,0.06732759380037123
increased_exc_synaptic_strength,SMI,8,0.053405559057877125,0.03811017023508472,0.07889524567238805,0.02772544464161647
increased_exc_synaptic_strength,A_h_mV,8,19.365372164736925,16.087382336213064,22.95812117814341,3.098481135485329
increased_exc_synaptic_strength,Gamma_h_to_d,8,0.9115430526008557,0.8766145944359856,0.9353849814229346,0.04242538148581354
increased_exc_synaptic_strength,Gamma_h_to_s,8,0.08706576832341781,0.0858234888117975,0.09028727173261081,0.0028319675119225785
increased_exc_synaptic_strength,local_voltage_isolation,8,0.08845694739914434,0.06461501857706542,0.12338540556401441,0.042425381485813485
increased_exc_synaptic_strength,active_frozen_Zin_50Hz_Mohm,8,165.65774768431768,165.62330855025513,165.73252850529235,0.05884009606018026
increased_nmda_contribution,SMI,8,0.05112338921692711,0.03964641404367304,0.07968837179239137,0.021484236111919054
increased_nmda_contribution,A_h_mV,8,14.055615782899173,12.227999199825549,16.120781820573512,2.630165526595567
increased_nmda_contribution,Gamma_h_to_d,8,0.9139284960773987,0.8721748678306825,0.9323853564185762,0.03290965896782372
increased_nmda_contribution,Gamma_h_to_s,8,0.08803702663854676,0.08526696414820657,0.09199619823063787,0.0034016547223796045
increased_nmda_contribution,local_voltage_isolation,8,0.08607150392260132,0.06761464358142373,0.1278251321693175,0.03290965896782383
increased_nmda_contribution,active_frozen_Zin_50Hz_Mohm,8,165.65235539401,165.60087270023067,165.73466401257969,0.06288435764938072
increased_clustering_synchrony,SMI,8,0.0516951371573022,0.040721012934775314,0.07051591401760826,0.013940632911438613
increased_clustering_synchrony,A_h_mV,8,17.138593504004973,14.063349280665843,19.34878051152931,2.5363140487888565
increased_clustering_synchrony,Gamma_h_to_d,8,0.9139716177870161,0.8859072935425063,0.9305097856496348,0.0208771825990004
increased_clustering_synchrony,Gamma_h_to_s,8,0.08736725671211967,0.08391721645129305,0.08857873179482259,0.0014093891913259382
increased_clustering_synchrony,local_voltage_isolation,8,0.08602838221298398,0.06949021435036512,0.11409270645749364,0.02087718259900037
increased_clustering_synchrony,active_frozen_Zin_50Hz_Mohm,8,165.6582010538578,165.60995992734613,165.75991133739794,0.07179367710682527
