target,predictor,n,pearson,spearman,abs_spearman
A_h_mV,synaptic_g_scale,81,0.9878740377292753,0.9888876404108201,0.9888876404108201
A_h_mV,R_neck_Mohm,81,0.34511303534984344,0.36783466285830657,0.36783466285830657
A_h_mV,dynamic_SMI_abs_50Hz,81,0.3451200494771261,0.36783466285830657,0.36783466285830657
A_h_mV,SMI,81,0.34513400625352375,0.36697631797890495,0.36697631797890495
A_h_mV,hcn_scale,81,-0.3222109568261947,-0.3273795134107198,0.3273795134107198
A_h_mV,active_frozen_Zin_50Hz_Mohm,81,0.2936602193793437,0.28058724063731627,0.28058724063731627
A_h_mV,R_in_d_Mohm,81,-0.1643285558266124,-0.18423373591494255,0.18423373591494255
A_h_mV,Zin_50Hz_Mohm,81,-0.1643343182771163,-0.18423373591494255,0.18423373591494255
A_h_mV,Ztransfer_50Hz_Mohm,81,-0.1643341545498946,-0.18423373591494255,0.18423373591494255
A_h_mV,transfer_gain_50Hz,81,-0.16433631498907006,-0.18423373591494255,0.18423373591494255
A_h_mV,electrotonic_distance_50Hz,81,0.16433687024536306,0.18423373591494255,0.18423373591494255
A_h_mV,ka_scale,81,-0.09252232651726167,-0.16093616672603758,0.16093616672603758
A_h_mV,nmda_fraction,81,0.0834740953503782,0.10723806617749865,0.10723806617749865
Gamma_h_to_d,SMI,81,-0.9989741534931477,-0.9993054378201918,0.9993054378201918
Gamma_h_to_d,R_neck_Mohm,81,-0.9989760652224667,-0.9992602617739075,0.9992602617739075
Gamma_h_to_d,dynamic_SMI_abs_50Hz,81,-0.9989754291857065,-0.9992602617739075,0.9992602617739075
Gamma_h_to_d,synaptic_g_scale,81,-0.1821516764713779,-0.24408808738368162,0.24408808738368162
Gamma_h_to_d,hcn_scale,81,0.2645601866487967,0.19568004448042678,0.19568004448042678
Gamma_h_to_d,active_frozen_Zin_50Hz_Mohm,81,-0.21419704878631152,-0.18601919937929137,0.18601919937929137
Gamma_h_to_d,nmda_fraction,81,-0.13248474696077908,-0.18492749309648282,0.18492749309648282
Gamma_h_to_d,R_in_d_Mohm,81,0.208026134671242,0.14312344863296586,0.14312344863296586
Gamma_h_to_d,Zin_50Hz_Mohm,81,0.20803696214553996,0.14312344863296586,0.14312344863296586
Gamma_h_to_d,Ztransfer_50Hz_Mohm,81,0.20803665448148614,0.14312344863296586,0.14312344863296586
Gamma_h_to_d,transfer_gain_50Hz,81,0.20804071415529685,0.14312344863296586,0.14312344863296586
Gamma_h_to_d,electrotonic_distance_50Hz,81,-0.20804175755797022,-0.14312344863296586,0.14312344863296586
Gamma_h_to_d,ka_scale,81,0.031029748089557246,0.06745583855192984,0.06745583855192984
Gamma_h_to_s,SMI,81,-0.8284571337861077,-0.7986108522022082,0.7986108522022082
Gamma_h_to_s,R_neck_Mohm,81,-0.8284724338129084,-0.7985656761559239,0.7985656761559239
Gamma_h_to_s,dynamic_SMI_abs_50Hz,81,-0.8284673199457945,-0.7985656761559239,0.7985656761559239
Gamma_h_to_s,nmda_fraction,81,0.3079942272482869,0.24797814460299195,0.24797814460299195
Gamma_h_to_s,hcn_scale,81,0.24726390470790682,0.22004122743923324,0.22004122743923324
Gamma_h_to_s,active_frozen_Zin_50Hz_Mohm,81,-0.1679877774899959,-0.17899491926674163,0.17899491926674163
Gamma_h_to_s,synaptic_g_scale,81,0.1392539127707346,0.08117447821383841,0.08117447821383841
Gamma_h_to_s,R_in_d_Mohm,81,0.10847353212703009,0.077204645035732,0.077204645035732
Gamma_h_to_s,Zin_50Hz_Mohm,81,0.10847935502178141,0.077204645035732,0.077204645035732
Gamma_h_to_s,Ztransfer_50Hz_Mohm,81,0.10847918956417371,0.077204645035732,0.077204645035732
Gamma_h_to_s,transfer_gain_50Hz,81,0.10848137284369946,0.077204645035732,0.077204645035732
Gamma_h_to_s,electrotonic_distance_50Hz,81,-0.10848193398175303,-0.077204645035732,0.077204645035732
Gamma_h_to_s,ka_scale,81,-0.07510976109768255,-0.03198843516059366,0.03198843516059366
local_voltage_isolation,SMI,81,0.9989741534931477,0.9993054378201918,0.9993054378201918
local_voltage_isolation,R_neck_Mohm,81,0.9989760652224667,0.9992602617739075,0.9992602617739075
local_voltage_isolation,dynamic_SMI_abs_50Hz,81,0.9989754291857065,0.9992602617739075,0.9992602617739075
local_voltage_isolation,synaptic_g_scale,81,0.1821516764713779,0.24408808738368162,0.24408808738368162
local_voltage_isolation,hcn_scale,81,-0.2645601866487967,-0.19568004448042678,0.19568004448042678
local_voltage_isolation,active_frozen_Zin_50Hz_Mohm,81,0.21419704878631152,0.18601919937929137,0.18601919937929137
local_voltage_isolation,nmda_fraction,81,0.13248474696077908,0.18492749309648282,0.18492749309648282
local_voltage_isolation,R_in_d_Mohm,81,-0.208026134671242,-0.14312344863296586,0.14312344863296586
local_voltage_isolation,Zin_50Hz_Mohm,81,-0.20803696214553996,-0.14312344863296586,0.14312344863296586
local_voltage_isolation,Ztransfer_50Hz_Mohm,81,-0.20803665448148614,-0.14312344863296586,0.14312344863296586
local_voltage_isolation,transfer_gain_50Hz,81,-0.20804071415529685,-0.14312344863296586,0.14312344863296586
local_voltage_isolation,electrotonic_distance_50Hz,81,0.20804175755797022,0.14312344863296586,0.14312344863296586
local_voltage_isolation,ka_scale,81,-0.031029748089557246,-0.06745583855192984,0.06745583855192984
