condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
high,0.0,-70.0,-70.0,-70.0,0.0
high,0.01,-70.0,-70.0,-70.0,0.0
high,0.02,-70.0,-70.0,-70.0,0.0
high,0.030000000000000006,-70.0,-70.0,-70.0,0.0
high,0.04,-70.0,-70.0,-70.0,0.0
high,0.05,-70.0,-70.0,-70.0,0.0
high,0.06000000000000001,-70.0,-70.0,-70.0,0.0
high,0.07,-70.0,-70.0,-70.0,0.0
high,0.08,-70.0,-70.0,-70.0,0.0
high,0.09000000000000001,-70.0,-70.0,-70.0,0.0
high,0.1,-70.0,-70.0,-70.0,0.0
high,0.11,-70.0,-70.0,-70.0,0.0
high,0.12000000000000002,-70.0,-70.0,-70.0,0.0
high,0.13,-70.0,-70.0,-70.0,0.0
high,0.14,-70.0,-70.0,-70.0,0.0
high,0.15000000000000002,-70.0,-70.0,-70.0,0.0
high,0.16,-70.0,-70.0,-70.0,0.0
high,0.17,-70.0,-70.0,-70.0,0.0
high,0.18000000000000002,-70.0,-70.0,-70.0,0.0
high,0.19,-70.0,-70.0,-70.0,0.0
high,0.2,-70.0,-70.0,-70.0,0.0
high,0.21000000000000002,-70.0,-70.0,-70.0,0.0
high,0.22,-70.0,-70.0,-70.0,0.0
high,0.23,-70.0,-70.0,-70.0,0.0
high,0.24000000000000005,-70.0,-70.0,-70.0,0.0
high,0.25,-70.0,-70.0,-70.0,0.0
high,0.26,-70.0,-70.0,-70.0,0.0
high,0.27,-70.0,-70.0,-70.0,0.0
high,0.28,-70.0,-70.0,-70.0,0.0
high,0.29,-70.0,-70.0,-70.0,0.0
high,0.30000000000000004,-70.0,-70.0,-70.0,0.0
high,0.31,-70.0,-70.0,-70.0,0.0
high,0.32,-70.0,-70.0,-70.0,0.0
high,0.33000000000000007,-70.0,-70.0,-70.0,0.0
high,0.34,-70.0,-70.0,-70.0,0.0
high,0.35000000000000003,-70.0,-70.0,-70.0,0.0
high,0.36000000000000004,-70.0,-70.0,-70.0,0.0
high,0.37000000000000005,-70.0,-70.0,-70.0,0.0
high,0.38,-70.0,-70.0,-70.0,0.0
high,0.39000000000000007,-70.0,-70.0,-70.0,0.0
high,0.4,-70.0,-70.0,-70.0,0.0
high,0.41000000000000003,-70.0,-70.0,-70.0,0.0
high,0.42000000000000004,-70.0,-70.0,-70.0,0.0
high,0.43000000000000005,-70.0,-70.0,-70.0,0.0
high,0.44,-70.0,-70.0,-70.0,0.0
high,0.45000000000000007,-70.0,-70.0,-70.0,0.0
high,0.46,-70.0,-70.0,-70.0,0.0
high,0.47000000000000003,-70.0,-70.0,-70.0,0.0
high,0.4800000000000001,-70.0,-70.0,-70.0,0.0
high,0.4900000000000001,-70.0,-70.0,-70.0,0.0
