condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
high,28.770000000000003,-67.20004500251544,-68.58762333786608,-69.56878562006443,0.10799635602379125
high,28.780000000000005,-67.20522572157994,-68.58829406015701,-69.56838835415502,0.10763696748405722
high,28.790000000000003,-67.21039282174125,-68.58896553611011,-69.5679917969864,0.10727877491173549
high,28.800000000000004,-67.21554634056977,-68.589637759279,-69.56759594835425,0.10692177432690499
high,28.810000000000002,-67.22068631553897,-68.59031072324404,-69.56720080805087,0.10656596176288881
high,28.82,-67.22581278402562,-68.5909844216122,-69.56680637586533,0.10621133326621045
high,28.830000000000002,-67.23092578330993,-68.59165884801695,-69.56641265158332,0.10585788489654958
high,28.84,-67.23602535057577,-68.59233399611819,-69.56601963498734,0.10550561272669853
high,28.85,-67.24111152291084,-68.59300985960216,-69.56562732585661,0.10515451284251837
high,28.860000000000003,-67.2461843373069,-68.59368643218143,-69.56523572396709,0.10480458134289564
high,28.870000000000005,-67.25124383065985,-68.59436370759462,-69.56484482909156,0.10445581433969922
high,28.880000000000003,-67.25629003977006,-68.59504167960657,-69.56445464099957,0.10410820795773641
high,28.890000000000004,-67.26132300134245,-68.59572034200798,-69.5640651594575,0.1037617583347106
high,28.900000000000002,-67.26634275198674,-68.59639968861556,-69.56367638422853,0.1034164616211779
high,28.91,-67.27134932821758,-68.59707971327177,-69.56328831507275,0.1030723139805047
high,28.92,-67.27634276645477,-68.59776040984484,-69.56290095174707,0.10272931158882471
high,28.93,-67.28132310302348,-68.59844177222864,-69.56251429400527,0.10238745063499682
high,28.940000000000005,-67.28629037415436,-68.5991237943426,-69.56212834159808,0.10204672732056225
high,28.950000000000003,-67.29124461598379,-68.59980647013161,-69.5617430942731,0.10170713785970324
high,28.960000000000004,-67.29618586455405,-68.60048979356597,-69.56135855177486,0.10136867847919988
high,28.970000000000002,-67.30111415581352,-68.60117375864125,-69.56097471384489,0.10103134541838898
high,28.980000000000004,-67.30602952561684,-68.60185835937828,-69.56059158022161,0.10069513492912187
high,28.990000000000002,-67.31093200972508,-68.60254358982299,-69.56020915064049,0.10036004327572308
