g_L_d_nS,neck_resistance_Mohm,R_in_d_Mohm,SMI,Gamma_h_to_s,Gamma_h_to_d,A_h_mV,A_s_mV
0.1,100.0,221.18742724097788,0.45210526315789473,0.07698249431498548,0.19622738118018027,8.976751157433933,0.691052694944197
0.12173570475023514,100.0,220.1291202592226,0.4542788336329181,0.07687759732026149,0.19610419210961072,8.976725280908523,0.6901090714002966
0.1481958181103642,100.0,218.85437200684402,0.4569248449689312,0.0767503858900683,0.19595445622261057,8.976693783068104,0.6889647118674541
0.1804072235870285,100.0,217.32233497100233,0.4601459855165975,0.07659622811263811,0.1957726686145006,8.97665544358893,0.6875779480456923
0.21962000505400156,100.0,215.48600349572433,0.464067263663295,0.0764096061085726,0.1955520354263972,8.976608777629181,0.6858991408894011
0.2673559609249908,100.0,213.29199029258027,0.46884085925039387,0.07618393672399595,0.19528439884661752,8.976551978679643,0.6838690679433906
0.32546766322380094,100.0,210.68065401404908,0.4746520294802748,0.07591144293286954,0.19496009472394746,8.976482849169034,0.6814177655425774
0.3962103535596159,100.0,207.5867568544706,0.4817262985138563,0.07558296044287703,0.1945673255263699,8.976398716229752,0.6784627890882855
0.48232946619919675,100.0,203.94086776413513,0.49033820977781445,0.0751877868022525,0.19409231068417276,8.976296329524743,0.674907854698148
0.5871671748956393,100.0,199.6717473756259,0.5008219806474588,0.07471352894651791,0.19351855703261944,8.976171737413496,0.6706414669321592
0.7147920984212522,100.0,194.70993625618445,0.5135844730000201,0.07414598763189924,0.19282665854246964,8.976020137003278,0.6655358780619236
0.8701571985121059,100.0,188.99269394175423,0.5291209830091055,0.07346912450218528,0.19199389395200253,8.975835692810415,0.6594467900262468
1.0592919980436148,100.0,182.4702765214368,0.5480344629622561,0.0726650991799658,0.19099395547205303,8.975611317759432,0.6522136866058126
1.2895365791812416,100.0,175.11327869911358,0.5710589210760189,0.07171447322146629,0.18979650141319115,8.975338409200443,0.6436616660002031
1.5698264426783584,100.0,166.92041144629025,0.5990879074257306,0.07059661980124861,0.1883671680223224,8.975006531374472,0.6336051238091667
1.9110392833500454,100.0,157.92569239911512,0.6332091914928993,0.06929034196176294,0.18666752648159826,8.974603034554947,0.6218533132353876
2.3264171396400206,100.0,148.2037021144512,0.6747469771218967,0.06777479663845078,0.18465541654115133,8.974112599743275,0.6082186564581593
2.832080300371041,100.0,137.87145629097856,0.7253132931949989,0.06603072285514576,0.18228557742633342,8.97351669670144,0.5925277940359158
3.4476529127492626,100.0,127.08570607535354,0.7868705544328212,0.06404194183785673,0.17951074820913446,8.972792942247198,0.5746350837305264
4.197024570677324,100.0,116.03516382264402,0.861807720225627,0.0617970814895554,0.17628360514915414,8.971914345539192,0.5544381219285965
5.109277439654571,100.0,104.92816015034086,0.9530330071233518,0.05929140334156256,0.17255870393000572,8.970848428039254,0.5318941924628978
6.219814898808265,100.0,93.97729998463863,1.0640867530387215,0.0565285445211827,0.16829557689455413,8.969556208665443,0.5070359574767952
7.571735501224365,100.0,83.38344586149628,1.1992788132803311,0.05352192542292244,0.16346208958832215,8.967991050404967,0.47998414819321045
9.21750557423923,100.0,73.32153332552426,1.363855820581818,0.05029566222607311,0.1580377534741118,8.96609737492158,0.45095580505513655
11.22099537119234,100.0,63.930247485676496,1.5642048002771285,0.04688441429749963,0.152016782289693,8.963858135787172,0.4202652385422584
13.659957795112257,100.0,55.30664362229441,1.8081010426691206,0.043333248518627965,0.14541324144646842,8.961171737813412,0.3883166819327738
16.629045890464585,100.0,47.505715897377215,2.105009852204353,0.039695390374638276,0.13826163286598558,8.957936917060955,0.3555888028741183
20.243486207997076,100.0,40.54403800144961,2.4664538839576022,0.03602962403785451,0.13061780214716096,8.954050830353257,0.3226110850334668
24.64355060132189,100.0,34.40611220414012,2.906460323290084,0.03239708856343341,0.12255870583316655,8.949395592525686,0.2899343616002553
30.0,100.0,29.051987767584095,3.4421052631578952,0.028857721751388447,0.1141800455592026,8.943838096508976,0.25809879117852375
