condition,neck_length_um,neck_radius_um,neck_resistance_Mohm,R_in_d_Mohm,SMI,A_h_mV,A_d_mV,A_s_mV,Gamma_h_to_d,Gamma_h_to_s,Gamma_d_to_s,latency_h_ms,latency_d_ms,latency_s_ms,half_width_h_ms,peak_synaptic_current_pA_signed,integrated_synaptic_current_pC_signed,peak_neck_current_pA_head_to_dendrite,dendritic_charge_from_neck_pC,driving_force_reduction_mV
low,0.25,0.25,1.2732395447351628,144.48669201520914,0.008812157901719679,1.8234865679095102,1.7942566529067645,0.650358655180705,0.9839703151549639,0.35665667443127486,0.3624669046800518,5.2700000000000005,5.45,16.610000000000003,17.760000000000005,-97.19658374813092,-0.3729389637087321,97.18492907516779,0.3729336855271237,1.8234865679095102
intermediate,0.75,0.12,16.578639905405762,144.48669201520914,0.1147416393453083,2.355775379339703,1.7698519468391793,0.6423506527204054,0.7512821308690512,0.27267058580960674,0.3629403317422085,2.6000000000000014,5.480000000000002,16.630000000000003,14.040000000000001,-95.17261535171835,-0.3684139579223687,95.16111775962597,0.3684087151410494,2.355775379339703
high,1.5,0.05,190.9859317102744,144.48669201520914,1.3218236852579517,15.067988039710302,1.5389304781336515,0.5658925696615108,0.10213244622161508,0.037555947626859855,0.3677180858408892,0.8100000000000017,5.78,16.880000000000003,3.980000000000001,-76.92234060884478,-0.32517385076951094,76.91197132600452,0.32516893753200043,15.067988039710302
