outlier_category,dataset,phase_source,condition,regime,active_or_passive,target_type,source_file,row_id,SMI,observed_Gamma_h_to_d,Gamma_divider,residual,absolute_residual,relative_error,absolute_relative_error,log10_absolute_relative_error,exploratory_only,source_caveat,A_h_mV,Gamma_h_to_s,R_neck_Mohm,R_in_d_Mohm,A_d_mV,A_s_mV,neck_length_um,neck_radius_um,path_length_um,branch_order,membrane_area_um2,Zin_Mohm,Ztransfer_Mohm,transfer_gain,synaptic_conductance_scale,dynamic_SMI_abs
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_0,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,0,0.4521052631578947,0.1962273811801802,0.6886553098948895,-0.4924279287147093,0.4924279287147093,-0.7150571870125699,0.7150571870125699,-0.14565922391803265,False,,8.976751157433933,0.0769824943149854,100.0,221.18742724097788,,0.691052694944197,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_1,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,1,0.4542788336329181,0.1961041921096107,0.687626043144636,-0.4915218510350253,0.4915218510350253,-0.7148098242283096,0.7148098242283096,-0.14580948725365706,False,,8.976725280908523,0.0768775973202614,100.0,220.1291202592226,,0.6901090714002966,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_2,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,2,0.4569248449689312,0.1959544562226105,0.6863772029512785,-0.4904227467286679,0.4904227467286679,-0.714509084246902,0.714509084246902,-0.145992245230993,False,,8.976693783068104,0.0767503858900683,100.0,218.854372006844,,0.6889647118674541,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_3,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,3,0.4601459855165975,0.1957726686145006,0.6848630273405173,-0.4890903587260167,0.4890903587260167,-0.7141433238486657,0.7141433238486657,-0.14621461944213512,False,,8.97665544358893,0.0765962281126381,100.0,217.32233497100236,,0.6875779480456923,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_4,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,4,0.464067263663295,0.1955520354263972,0.6830287274492186,-0.4874766920228214,0.4874766920228214,-0.7136986665894869,0.7136986665894869,-0.14648511463913258,False,,8.976608777629181,0.0764096061085726,100.0,215.48600349572436,,0.6858991408894011,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_5,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,5,0.4688408592503938,0.1952843988466175,0.6808089478872058,-0.4855245490405883,0.4855245490405883,-0.7131582957999377,0.7131582957999377,-0.14681406150555082,False,,8.976551978679643,0.0761839367239959,100.0,213.29199029258027,,0.6838690679433906,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_6,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,6,0.4746520294802748,0.1949600947239474,0.6781260799216743,-0.4831659851977269,0.4831659851977269,-0.7125017006476644,0.7125017006476644,-0.14721409471451907,False,,8.976482849169034,0.0759114429328695,100.0,210.68065401404908,,0.6814177655425774,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_7,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,7,0.4817262985138563,0.1945673255263699,0.6748884736695172,-0.4803211481431473,0.4803211481431473,-0.7117044769360713,0.7117044769360713,-0.1477003022600265,False,,8.976398716229752,0.075582960442877,100.0,207.5867568544706,,0.6784627890882855,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_8,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,8,0.4903382097778144,0.1940923106841727,0.6709886342839482,-0.47689632359977546,0.47689632359977546,-0.7107368131633107,0.7107368131633107,-0.148291189356178,False,,8.976296329524743,0.0751877868022525,100.0,203.94086776413516,,0.674907854698148,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_9,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,9,0.5008219806474588,0.1935185570326194,0.6663015420180595,-0.4727829849854401,0.4727829849854401,-0.709563095942266,0.709563095942266,-0.14900898004979532,False,,8.976171737413496,0.0747135289465179,100.0,199.6717473756259,,0.6706414669321592,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_10,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,10,0.5135844730000201,0.1928266585424696,0.6606833102733518,-0.4678566517308822,0.4678566517308822,-0.7081405636496413,0.7081405636496413,-0.1498805276799,False,,8.976020137003278,0.0741459876318992,100.0,194.70993625618445,,0.6655358780619236,,,,,,,,,,
largest_absolute_residual,phase02_matched_neck_load_sweep,phase02,row_11,matched_neck_heterogeneous_load,passive,Gamma_h_to_d_peak,results\phase02\Figure4_matched_neck_heterogeneous_load.csv,11,0.5291209830091055,0.1919938939520025,0.6539704909628105,-0.46197659701080795,0.46197659701080795,-0.706418108148368,0.706418108148368,-0.15093817668966467,False,,8.975835692810415,0.0734691245021852,100.0,188.99269394175425,,0.6594467900262468,,,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_380,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,380,3.596799143559052,0.0422189192185744,0.21754267888802173,-0.17532375966944733,0.17532375966944733,-0.8059281082940685,0.8059281082940685,-0.09370369710769427,False,,29.64358492788968,0.0158153098592066,519.6896100959847,144.48669201520914,,0.4688224809722835,2.0,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_360,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,360,3.416959186381099,0.0441168661791899,0.22640009966207533,-0.18228323348288544,0.18228323348288544,-0.8051376026554816,0.8051376026554816,-0.09412988985944891,False,,28.778923431524024,0.0165054706348484,493.7051295911854,144.48669201520914,,0.4750096756015731,1.9,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_340,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,340,3.2371192292031465,0.0462177209446143,0.2360094077853138,-0.1897916868406995,0.1897916868406995,-0.8041700058556297,0.8041700058556297,-0.09465212936083144,False,,27.87638968147199,0.0172691797467275,467.7206490863863,144.48669201520914,,0.481402384099161,1.8,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_320,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,320,3.0572792720251942,0.0485566953282982,0.24647058606366257,-0.19791389073536436,0.19791389073536436,-0.8029919265264531,0.8029919265264531,-0.09528882120031976,False,,26.93343942415522,0.0181191829552906,441.73616858158704,144.48669201520914,,0.4880119165415059,1.7,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_300,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,300,2.877439314847241,0.0511776113862577,0.2579021665589618,-0.2067245551727041,0.2067245551727041,-0.8015619175709505,0.8015619175709505,-0.09606292443799892,False,,25.94729527919868,0.0190713729501405,415.7516880767878,144.48669201520914,,0.4948505453170188,1.6,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_280,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,280,2.6975993576692887,0.0541359232585231,0.2704457414851811,-0.21630981822665798,0.21630981822665798,-0.7998270449324512,0.7998270449324512,-0.09700391494824954,False,,24.91491941300896,0.0201458220210099,389.7672075719885,144.48669201520914,,0.5019315321622836,1.5,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_260,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,260,2.5177594004913355,0.0575025833972704,0.2842718577797922,-0.22676927438252178,0.22676927438252178,-0.797719746701715,0.797719746701715,-0.09814965731890178,False,,23.83298227674604,0.0213682552128766,363.7827270671892,144.48669201520914,,0.509269247773475,1.4,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_240,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,240,2.337919443313384,0.0613701623707302,0.2995878171964961,-0.23821765482576587,0.23821765482576587,-0.7951513417834403,0.7951513417834403,-0.09955020386415099,False,,22.69782673127817,0.022772190844264,337.7982465623901,144.48669201520914,,0.5168792420747054,1.3,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_220,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,220,2.158079486135431,0.0658614979403505,0.31664814150188114,-0.25078664356153063,0.25078664356153063,-0.7920041544284281,0.7920041544284281,-0.10127254032892857,False,,21.505426745102103,0.0244021394967674,311.8137660575908,144.48669201520914,,0.5247784233714942,1.2,0.035,,,,,,,,
largest_absolute_relative_error,phase02_fixed_load_geometry_sweep,phase02,row_381,fixed_load_geometry_sweep,passive,Gamma_h_to_d_peak,results\phase02\Figure3_geometry_sweep.csv,381,2.05397017208213,0.0688095606527297,0.3274426217850785,-0.2586330611323488,0.2586330611323488,-0.7898576542124873,0.7898576542124873,-0.1024511689123577,False,,20.78730961219596,0.0254718200184363,296.7713556620568,144.48669201520914,,0.5294906091093676,2.0,0.0463157894736842,,,,,,,,
