n,group,target,rank,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,model
384,passive,Gamma_h_to_d,5,neck_radius_um,0.6070025143375722,0.6044405496592181,0.6044405496592181,0.5524553459908419,0.6618525469736288,0.046087332226891216,univariate_linear
384,passive,Gamma_h_to_d,6,neck_length_um,-0.5797806259899787,-0.5967430741582178,0.5967430741582178,0.5310145938055045,0.6468309031586384,0.047184919187480606,univariate_linear
384,passive,Gamma_h_to_d,7,R_in_d_Mohm,0.08558410646698512,0.08034103624834696,0.08034103624834696,0.0060298622181181325,0.15513016441545927,0.05769935704117353,univariate_linear
384,passive,Gamma_h_to_d,8,membrane_leak_scale,-0.07457992091471517,-0.08034103624834696,0.08034103624834696,0.0060298622181181325,0.15513016441545927,0.05771486228240184,univariate_linear
384,passive,Gamma_h_to_s,1,active_transfer_gain_50Hz,0.6684338241256275,0.6464548506323963,0.6464548506323963,0.5997605786062212,0.7014891699762178,0.007898502780029997,univariate_linear
384,passive,Gamma_h_to_s,2,transfer_gain_50Hz,0.6683806622574461,0.6463609660574412,0.6463609660574412,0.5997378061381605,0.7014291501635818,0.007899006842805327,univariate_linear
384,passive,Gamma_h_to_s,3,electrotonic_distance_50Hz,-0.6644434959471761,-0.6463609660574412,0.6463609660574412,0.5997378061381605,0.7014291501635818,0.007937558525084118,univariate_linear
384,passive,Gamma_h_to_s,4,SMI,-0.6525122036653404,-0.6380986996032688,0.6380986996032688,0.5853450333780852,0.6847070935823191,0.008067379993058638,univariate_linear
384,passive,Gamma_h_to_s,5,Ztransfer_50Hz_Mohm,0.6433467223420652,0.6247609440168187,0.6247609440168187,0.5736393235624049,0.6808703074676671,0.008131426348280632,univariate_linear
384,passive,Gamma_h_to_s,6,membrane_capacitance_scale,-0.6185582457113659,-0.6097027482960903,0.6097027482960903,0.5585575537925824,0.667604771945685,0.008342479479155309,univariate_linear
384,passive,Gamma_h_to_s,7,R_neck_Mohm,-0.5455337787589913,-0.5230051117290021,0.5230051117290021,0.4573612504107388,0.5790073882736437,0.008930290320266652,univariate_linear
384,passive,Gamma_h_to_s,8,dynamic_SMI_abs_50Hz,-0.5451949016093366,-0.5216898799633787,0.5216898799633787,0.4549982020118535,0.5766113987373618,0.008931650279433555,univariate_linear
384,passive,A_h_mV,1,synaptic_conductance_scale,0.9799264836387,0.9845009918280153,0.9845009918280153,0.9806693046045396,0.9862285759108678,0.9296754899598814,univariate_linear
384,passive,A_h_mV,2,SMI,0.1163201493649265,0.12193169102438033,0.12193169102438033,0.04752128889476777,0.19542838369449364,4.628193702874011,univariate_linear
384,passive,A_h_mV,3,R_neck_Mohm,0.11433503748458083,0.11634057848157064,0.11634057848157064,0.04377273050654516,0.192627485749393,4.628650010216269,univariate_linear
384,passive,A_h_mV,4,dynamic_SMI_abs_50Hz,0.11263907223826926,0.11584190939608695,0.11584190939608695,0.044483994573265795,0.18990100112861025,4.6296399878580985,univariate_linear
384,passive,A_h_mV,5,active_dynamic_SMI_abs_50Hz,0.1125656232096104,0.11549773659760605,0.11549773659760605,0.04444595244035033,0.18974600223690885,4.62969108821607,univariate_linear
384,passive,A_h_mV,6,neck_length_um,0.09697617596563293,0.09978044149062426,0.09978044149062426,0.01910874647827586,0.17983676224865697,4.638466745240995,univariate_linear
384,passive,A_h_mV,7,calcium_density_scale,-0.10113727375684825,-0.09944813671967719,0.09944813671967719,0.016619750635425666,0.18476764842124208,4.642977431683675,univariate_linear
384,passive,A_h_mV,8,Ztransfer_50Hz_Mohm,0.08294337847698888,0.0863924587162185,0.0863924587162185,0.01260276300653272,0.16436282396989568,4.662550276227171,univariate_linear
384,passive,local_voltage_isolation,1,dynamic_SMI_abs_50Hz,0.9962658186592047,0.9999145925875691,0.9999145925875691,0.9998159341535765,0.9999158935417022,0.005197990969875974,univariate_linear
384,passive,local_voltage_isolation,2,active_dynamic_SMI_abs_50Hz,0.9962586821315015,0.9999084466447391,0.9999084466447391,0.9998078493455448,0.9999058693813735,0.005201500107682368,univariate_linear
384,passive,local_voltage_isolation,3,R_neck_Mohm,0.9963195769786598,0.999794004950663,0.999794004950663,0.9996260077941511,0.9997985133285281,0.005150983360198095,univariate_linear
384,passive,local_voltage_isolation,4,SMI,0.9274848201296847,0.9371946102200671,0.9371946102200671,0.9252037417599214,0.9448231244956777,0.021720589281179842,univariate_linear
384,passive,local_voltage_isolation,5,neck_radius_um,-0.6070025143375724,-0.6044405496592181,0.6044405496592181,0.5524553459908419,0.6618525469736288,0.04608733222689123,univariate_linear
384,passive,local_voltage_isolation,6,neck_length_um,0.5797806259899789,0.5967430741582178,0.5967430741582178,0.5310145938055045,0.6468309031586384,0.047184919187480634,univariate_linear
384,passive,local_voltage_isolation,7,R_in_d_Mohm,-0.08558410646698508,-0.08034103624834696,0.08034103624834696,0.0060298622181181325,0.15513016441545927,0.05769935704117353,univariate_linear
384,passive,local_voltage_isolation,8,membrane_leak_scale,0.0745799209147152,0.08034103624834696,0.08034103624834696,0.0060298622181181325,0.15513016441545927,0.05771486228240184,univariate_linear
384,active,active_Gamma_h_to_d,1,active_dynamic_SMI_abs_50Hz,-0.9948109419408194,-0.9984974229425927,0.9984974229425927,0.9977680800113701,0.9988776686188188,0.006061826213983868,univariate_linear
384,active,active_Gamma_h_to_d,2,dynamic_SMI_abs_50Hz,-0.9948075625502274,-0.9984842833406802,0.9984842833406802,0.9977938676989451,0.9988607646957115,0.00606368593119807,univariate_linear
384,active,active_Gamma_h_to_d,3,R_neck_Mohm,-0.994819096948665,-0.9984226119833169,0.9984226119833169,0.9976547912596996,0.9987697835216804,0.006044802380530705,univariate_linear
384,active,active_Gamma_h_to_d,4,SMI,-0.9259915601491654,-0.9360516767827473,0.9360516767827473,0.9238219233630937,0.9441293966487847,0.02174225718636059,univariate_linear
384,active,active_Gamma_h_to_d,5,neck_radius_um,0.6072422856022962,0.6052242633345767,0.6052242633345767,0.5537267930144678,0.6615993878644953,0.04557781233444958,univariate_linear
384,active,active_Gamma_h_to_d,6,neck_length_um,-0.5762153124278184,-0.5936133057542979,0.5936133057542979,0.5262932637618056,0.6436873267571167,0.046822931266807886,univariate_linear
384,active,active_Gamma_h_to_d,7,R_in_d_Mohm,0.08535577121833185,0.080121053880845,0.080121053880845,0.006293313477084102,0.15358986809779224,0.057086166971981656,univariate_linear
384,active,active_Gamma_h_to_d,8,membrane_leak_scale,-0.07428676737737029,-0.080121053880845,0.080121053880845,0.006293313477084102,0.15358986809779224,0.05709897526603705,univariate_linear
384,active,active_Gamma_h_to_s,1,SMI,-0.6466456326491481,-0.6398848377471092,0.6398848377471092,0.5773007713134259,0.684728410582357,0.008730528097483384,univariate_linear
384,active,active_Gamma_h_to_s,2,active_transfer_gain_50Hz,0.6186091950337401,0.5902688532094538,0.5902688532094538,0.5374655759152964,0.6522181609851343,0.008997003697381968,univariate_linear
384,active,active_Gamma_h_to_s,3,transfer_gain_50Hz,0.6185490733719268,0.5901982808314401,0.5901982808314401,0.5374270885780017,0.6522380510925613,0.008997543571893939,univariate_linear
