n_previous,n_current,output,metric,previous_value,current_value,relative_change,passed_10_percent
96,192,A_h_mV,median,14.24453197952624,14.215257145916624,0.0020593952898013746,True
96,192,A_h_mV,p2_5,8.132444865333309,7.999629496866557,0.016602689976926408,True
96,192,A_h_mV,p97_5,23.85951163047544,23.244410403574012,0.02646232862963261,True
96,192,Gamma_h_to_d,median,0.8716804442734319,0.8670903372661829,0.005293689492286379,True
96,192,Gamma_h_to_d,p2_5,0.7418101823666216,0.7052663815262633,0.05181560017262413,True
96,192,Gamma_h_to_d,p97_5,0.9502050589100007,0.9520668250336516,0.001955499419470948,True
96,192,Gamma_h_to_s,median,0.08025353939407721,0.07939832998084187,0.010771125959975468,True
96,192,Gamma_h_to_s,p2_5,0.06062349734454758,0.06342045243382866,0.04410178391898649,True
96,192,Gamma_h_to_s,p97_5,0.10113808826394617,0.10560849422768084,0.04232998487883887,True
96,192,R_in_d_Mohm,median,309.80294857672396,310.0359713868039,0.0007515992710059536,True
96,192,R_in_d_Mohm,p2_5,241.48035047447047,241.34027983614382,0.0005803864917275643,True
96,192,R_in_d_Mohm,p97_5,440.2966211675664,441.9172288424,0.0036672199431526283,True
96,192,R_neck_Mohm,median,24.598281690022933,25.417002820737935,0.032211552891948395,True
96,192,R_neck_Mohm,p2_5,8.780728858287459,8.446009067422658,0.03963052705636538,True
96,192,R_neck_Mohm,p97_5,57.55119768450773,68.83025407998615,0.1638677140777553,False
96,192,SMI,median,0.08046800978974814,0.0798521152296712,0.007712939830153464,True
96,192,SMI,p2_5,0.025244525939032772,0.025526026070359305,0.01102796536172977,True
96,192,SMI,p97_5,0.22485088870371112,0.22640078411618525,0.0068458040837824675,True
96,192,Ztransfer_50Hz_Mohm,median,14.039564642303842,13.901904905778654,0.009902221131434087,True
96,192,Ztransfer_50Hz_Mohm,p2_5,11.82512621909683,11.778964883103482,0.0039189637163758945,True
96,192,Ztransfer_50Hz_Mohm,p97_5,17.27919508055474,17.214540768723815,0.0037557964920209557,True
96,192,active_A_h_mV,median,14.370439250818382,14.522463630414869,0.010468222435627039,True
96,192,active_A_h_mV,p2_5,8.263937361064016,8.058622460629635,0.025477667112145514,True
96,192,active_A_h_mV,p97_5,27.320420426826452,24.930101600994586,0.09588082969290843,True
96,192,active_Gamma_h_to_d,median,0.8724729308363931,0.8677965156545648,0.0053888383941031615,True
96,192,active_Gamma_h_to_d,p2_5,0.7447214057057325,0.7047005182062824,0.05679134109524671,True
96,192,active_Gamma_h_to_d,p97_5,0.9505420960583437,0.952859657840695,0.002432217339962967,True
96,192,active_Gamma_h_to_s,median,0.08368153662990417,0.08322895305599166,0.005437814093468591,True
96,192,active_Gamma_h_to_s,p2_5,0.06330508455585139,0.06559510455856749,0.03491144679358533,True
96,192,active_Gamma_h_to_s,p97_5,0.10621175835924472,0.11078594557081951,0.04128851532571665,True
96,192,active_Zin_50Hz_Mohm,median,165.5139150510689,165.48761700206643,0.00015891248831104233,True
96,192,active_Zin_50Hz_Mohm,p2_5,163.2265547903638,163.08376952724916,0.0008755332521963487,True
96,192,active_Zin_50Hz_Mohm,p97_5,168.27397263702042,167.9863787333276,0.0017120072821461799,True
96,192,active_transfer_gain_50Hz,median,0.08491221325111611,0.08421040748388328,0.00833395524617487,True
96,192,active_transfer_gain_50Hz,p2_5,0.07144834074532898,0.07162632166951484,0.0024848536129925564,True
96,192,active_transfer_gain_50Hz,p97_5,0.10316767456076645,0.10334257110498608,0.001692395905671414,True
192,384,A_h_mV,median,14.215257145916624,14.2512090999232,0.0025227300893907695,True
192,384,A_h_mV,p2_5,7.999629496866557,7.88989482328721,0.01390825556450549,True
192,384,A_h_mV,p97_5,23.244410403574012,23.122474003039343,0.00527350146522558,True
192,384,Gamma_h_to_d,median,0.8670903372661829,0.871846588521069,0.005455376344311018,True
192,384,Gamma_h_to_d,p2_5,0.7052663815262633,0.7391492777357002,0.04584039683192718,True
192,384,Gamma_h_to_d,p97_5,0.9520668250336516,0.9481483118551275,0.004132806154405543,True
192,384,Gamma_h_to_s,median,0.07939832998084187,0.07988349911608941,0.006073458731977659,True
192,384,Gamma_h_to_s,p2_5,0.06342045243382866,0.061899028892092485,0.024579118105203916,True
192,384,Gamma_h_to_s,p97_5,0.10560849422768084,0.10459101173925739,0.009728201988905236,True
192,384,R_in_d_Mohm,median,310.0359713868039,309.87907296809465,0.0005063214408331969,True
192,384,R_in_d_Mohm,p2_5,241.34027983614382,241.03211667454394,0.001278514937559044,True
192,384,R_in_d_Mohm,p97_5,441.9172288424,442.19385307037777,0.0006255723051259844,True
192,384,R_neck_Mohm,median,25.417002820737935,24.491468385782902,0.037790075318321785,True
