n,output,mean,sd,p2_5,p25,median,p75,p97_5
96,R_neck_Mohm,27.6274970272617,14.162464352429176,8.780728858287459,17.654156995088037,24.598281690022933,33.608294021192194,57.55119768450773
96,R_in_d_Mohm,321.5918802191139,61.14572257111945,241.48035047447047,268.42055496449194,309.80294857672396,368.68538446053344,440.2966211675664
96,SMI,0.09047227793618795,0.05483119887763861,0.025244525939032772,0.0505651039064346,0.08046800978974814,0.11314410497157835,0.22485088870371112
96,Gamma_h_to_d,0.8615899725388118,0.05934031874242471,0.7418101823666216,0.8318952955096295,0.8716804442734319,0.9043152211246623,0.9502050589100007
96,Gamma_h_to_s,0.08057904206769435,0.010491526893642045,0.06062349734454758,0.07451269352961046,0.08025353939407721,0.08763329047473675,0.10113808826394617
96,A_h_mV,14.750628929990071,4.74785108078146,8.132444865333309,10.652643888044405,14.24453197952624,18.67674975211152,23.85951163047544
96,Ztransfer_50Hz_Mohm,14.15730800771398,1.6460113339643048,11.82512621909683,12.783187636217825,14.039564642303842,15.412531312153133,17.27919508055474
96,active_Zin_50Hz_Mohm,165.46315154264917,1.3230415090702339,163.2265547903638,164.52807785604475,165.5139150510689,166.3295112087614,168.27397263702042
96,active_transfer_gain_50Hz,0.08529486901268624,0.00952633170547352,0.07144834074532898,0.07708232276496912,0.08491221325111611,0.09292685578170345,0.10316767456076645
96,active_A_h_mV,15.28187685871032,5.371461344540894,8.263937361064016,10.638167686152192,14.370439250818382,19.285264583385526,27.320420426826452
96,active_Gamma_h_to_d,0.8637143382715697,0.058395861983553926,0.7447214057057325,0.8327290498817191,0.8724729308363931,0.9043642807510522,0.9505420960583437
96,active_Gamma_h_to_s,0.0836532501900361,0.011378192288797164,0.06330508455585139,0.07600768571116903,0.08368153662990417,0.09066192229588951,0.10621175835924472
192,R_neck_Mohm,28.034408323272363,15.222285201229434,8.446009067422658,16.82972565475127,25.417002820737935,35.05816151401094,68.83025407998615
192,R_in_d_Mohm,321.6662526049176,61.07541721695651,241.34027983614382,267.96764982725654,310.0359713868039,369.2033985115811,441.9172288424
192,SMI,0.08973974307999204,0.05067721667045581,0.025526026070359305,0.05049898057010236,0.0798521152296712,0.11244292952149113,0.22640078411618525
192,Gamma_h_to_d,0.8604604001544199,0.06306403582236089,0.7052663815262633,0.82602525656603,0.8670903372661829,0.908049008171274,0.9520668250336516
192,Gamma_h_to_s,0.0806039052550962,0.011192732328560641,0.06342045243382866,0.07217511251633171,0.07939832998084187,0.08768693184811374,0.10560849422768084
192,A_h_mV,14.776905049352692,4.760767412637947,7.999629496866557,10.679413133975828,14.215257145916624,18.468924765989964,23.244410403574012
192,Ztransfer_50Hz_Mohm,14.160622272258445,1.665082095006098,11.778964883103482,12.69919450964807,13.901904905778654,15.493295072984143,17.214540768723815
192,active_Zin_50Hz_Mohm,165.42725969376454,1.2817149761165159,163.08376952724916,164.59941335438737,165.48761700206643,166.3098760743012,167.9863787333276
192,active_transfer_gain_50Hz,0.08533842774690709,0.009715516171117794,0.07162632166951484,0.07685400275519723,0.08421040748388328,0.09273958129559148,0.10334257110498608
192,active_A_h_mV,15.244683216776066,5.230460513664669,8.058622460629635,10.702677224102501,14.522463630414869,19.09209156617999,24.930101600994586
192,active_Gamma_h_to_d,0.8622949301542482,0.06208524970063385,0.7047005182062824,0.8278779215823739,0.8677965156545648,0.9084820505443988,0.952859657840695
192,active_Gamma_h_to_s,0.0837633365149348,0.012513420110907201,0.06559510455856749,0.07427396154653751,0.08322895305599166,0.09070699116381117,0.11078594557081951
384,R_neck_Mohm,27.465852405057202,13.548875364564411,9.163708764383413,17.12462083965041,24.491468385782902,35.5517441229283,58.09313447916483
