n,smi_mean,smi_median,smi_sd,smi_coefficient_of_variation,smi_skewness,smi_p95_over_median,radius_smi_spearman,length_smi_spearman,resistivity_smi_spearman,rin_smi_spearman,low_class_fraction,intermediate_class_fraction,high_class_fraction
96,0.09047227793618795,0.08046800978974814,0.05483119887763861,0.6060552483967767,1.6967964128173787,2.2019744397235086,-0.5216766142159522,0.643407487791644,0.38270482908301684,-0.46034997287032015,0.9895833333333334,0.010416666666666666,0.0
192,0.08973974307999204,0.0798521152296712,0.05067721667045581,0.5647131909580269,1.209564681851928,2.4180823384099575,-0.5972096004123376,0.6370937661069365,0.38741420936982884,-0.29473828771396793,0.9947916666666666,0.005208333333333333,0.0
384,0.0890215619763779,0.07783472268332997,0.0486350137365431,0.5463284698312587,1.2019430728017195,2.2734540802904406,-0.5333771320063748,0.5964980841612696,0.4119227052321047,-0.404581058628056,0.9947916666666666,0.005208333333333333,0.0
768,0.08909247391600823,0.07878732729522342,0.049480749585135764,0.5553864138039724,1.3057726619461572,2.318279654110592,-0.5249935944766481,0.618686056028673,0.4137096266591842,-0.34897479307351525,0.9856770833333334,0.014322916666666666,0.0
