group,target,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,n,model
passive,Gamma_h_to_d,R_neck_Mohm,-0.995039506151414,-0.9995794899620184,0.9995794899620184,0.9986231837536723,0.9997842452149577,0.006374733847959403,96,univariate_linear
passive,Gamma_h_to_d,R_in_d_Mohm,0.04366686517290161,0.022314161692892024,0.022314161692892024,0.005703420161745748,0.20389528890440092,0.06036878220623787,96,univariate_linear
passive,Gamma_h_to_d,SMI,-0.9356517816728743,-0.9155453065653826,0.9155453065653826,0.871190990774843,0.9439767349750088,0.02151466398962795,96,univariate_linear
passive,Gamma_h_to_d,Zin_50Hz_Mohm,0.07074347709048712,0.06995387954422137,0.06995387954422137,0.008221885319314426,0.21542005391279875,0.06038372523168897,96,univariate_linear
passive,Gamma_h_to_d,Ztransfer_50Hz_Mohm,0.06525938802108495,0.08132121540965817,0.08132121540965817,0.008049333096148067,0.24888673767424466,0.06174747792856722,96,univariate_linear
passive,Gamma_h_to_d,transfer_gain_50Hz,0.06344275716614609,0.07798426478567552,0.07798426478567552,0.008004391042708508,0.24846504868176095,0.061828004278797775,96,univariate_linear
passive,Gamma_h_to_d,electrotonic_distance_50Hz,-0.06647110669068963,-0.07798426478567552,0.07798426478567552,0.008004391042708508,0.24846504868176095,0.061753313810019,96,univariate_linear
passive,Gamma_h_to_d,dynamic_SMI_abs_50Hz,-0.9949723574956859,-0.9997693977211068,0.9997693977211068,0.9990627962458559,0.9998921233393941,0.006448814867372024,96,univariate_linear
passive,Gamma_h_to_d,neck_radius_um,0.5897114997407318,0.5594004340748779,0.5594004340748779,0.39325907980557473,0.6615471388479918,0.04878500031484145,96,univariate_linear
passive,Gamma_h_to_d,neck_length_um,-0.6631078043656902,-0.70427292457949,0.70427292457949,0.5900789203005188,0.8045857400610056,0.04542658788573311,96,univariate_linear
passive,Gamma_h_to_d,head_diameter_um,0.05137302244847683,0.05202116115029843,0.05202116115029843,0.00920999929632881,0.22170345855345708,0.06108853867509028,96,univariate_linear
passive,Gamma_h_to_d,dendritic_area_scale,-0.06069514961426758,-0.0435973955507325,0.0435973955507325,0.008869353062832439,0.22453674396782677,0.06107448518565387,96,univariate_linear
passive,Gamma_h_to_d,membrane_capacitance_scale,-0.06638757606950717,-0.08615029842647856,0.08615029842647856,0.006973622160433645,0.2569325070351491,0.06177041129250174,96,univariate_linear
passive,Gamma_h_to_d,membrane_leak_scale,-0.039101791425372914,-0.022314161692892024,0.022314161692892024,0.005703420161745748,0.20389528890440092,0.060496373274432816,96,univariate_linear
passive,Gamma_h_to_d,synaptic_conductance_scale,0.03168173934801026,0.02894736842105263,0.02894736842105263,0.009713203672515748,0.22171214917243476,0.06082580421485677,96,univariate_linear
passive,Gamma_h_to_d,nmda_fraction,0.19034344996678063,0.19087086272381987,0.19087086272381987,0.03278542171059895,0.3486424878895409,0.06014814382057191,96,univariate_linear
passive,Gamma_h_to_d,hcn_density_scale,0.05125805406240093,-0.009088442756375475,0.009088442756375475,0.007574340624396943,0.20780099464890825,0.06076263177273539,96,univariate_linear
passive,Gamma_h_to_d,na_density_scale,0.08535831838712328,0.038510580575149216,0.038510580575149216,0.010473586346640928,0.24343724443189274,0.06034650921942843,96,univariate_linear
passive,Gamma_h_to_d,kdr_density_scale,-0.06577307288716,-0.1008410200759631,0.1008410200759631,0.008711827800051412,0.2770620933531634,0.060390312887255757,96,univariate_linear
passive,Gamma_h_to_d,a_type_density_scale,-0.059569955557523,-0.12569180683667933,0.12569180683667933,0.01076600267612855,0.28505892931479593,0.0601800942111483,96,univariate_linear
passive,Gamma_h_to_d,calcium_density_scale,-0.04393750411951963,-0.045781334780249594,0.045781334780249594,0.004309366955526613,0.24234153481286325,0.060850011213714965,96,univariate_linear
passive,Gamma_h_to_d,active_Zin_50Hz_Mohm,0.07067562518440283,0.0833288117200217,0.0833288117200217,0.006532417005308301,0.23316797226949343,0.0603610626636349,96,univariate_linear
passive,Gamma_h_to_d,active_transfer_gain_50Hz,0.06344050827041055,0.07798426478567552,0.07798426478567552,0.008004391042708508,0.24846504868176095,0.06182821022691776,96,univariate_linear
passive,Gamma_h_to_d,active_dynamic_SMI_abs_50Hz,-0.9950478186465133,-0.9997287032013022,0.9997287032013022,0.9989263790502748,0.9998927947821395,0.006395101356568452,96,univariate_linear
passive,Gamma_h_to_s,R_neck_Mohm,-0.5418258660528141,-0.5189636462289745,0.5189636462289745,0.3358018091344251,0.6475161821765536,0.009031953468496506,96,univariate_linear
passive,Gamma_h_to_s,R_in_d_Mohm,0.5185458737665768,0.47373846988605534,0.47373846988605534,0.33817588669436616,0.6047551516876757,0.009101765106436847,96,univariate_linear
passive,Gamma_h_to_s,SMI,-0.6550842986223693,-0.6442078133478025,0.6442078133478025,0.5322959656695344,0.7385043940533913,0.008119774669154957,96,univariate_linear
passive,Gamma_h_to_s,Zin_50Hz_Mohm,0.024881989143981258,0.030073250135648398,0.030073250135648398,0.006643670965512142,0.21460769213029196,0.01060296214786372,96,univariate_linear
passive,Gamma_h_to_s,Ztransfer_50Hz_Mohm,0.621144045557378,0.5799782962561042,0.5799782962561042,0.4572163941473139,0.6912481898229904,0.008387399571304514,96,univariate_linear
passive,Gamma_h_to_s,transfer_gain_50Hz,0.6461002404611622,0.5964867064568639,0.5964867064568639,0.4734777162862227,0.7122100773043444,0.008185458895522852,96,univariate_linear
passive,Gamma_h_to_s,electrotonic_distance_50Hz,-0.6468497431767672,-0.5964867064568639,0.5964867064568639,0.4734777162862227,0.7122100773043444,0.0081737501399705,96,univariate_linear
passive,Gamma_h_to_s,dynamic_SMI_abs_50Hz,-0.5424712159488507,-0.5210255018990776,0.5210255018990776,0.337889072966694,0.648957536200061,0.009026540476313816,96,univariate_linear
passive,Gamma_h_to_s,neck_radius_um,0.3378623863240134,0.3150705371676614,0.3150705371676614,0.13875214441552336,0.4952414264841937,0.010007056799198992,96,univariate_linear
passive,Gamma_h_to_s,neck_length_um,-0.40477522163314755,-0.3753526858383071,0.3753526858383071,0.1978160936682812,0.5323887875545584,0.009809143201407583,96,univariate_linear
passive,Gamma_h_to_s,head_diameter_um,-0.1478296354994992,-0.1481958762886598,0.1481958762886598,0.02599004588431088,0.31992195308598725,0.01057301755089769,96,univariate_linear
passive,Gamma_h_to_s,dendritic_area_scale,0.12988053549684253,0.12963917525773197,0.12963917525773197,0.010416372652276802,0.29253149193649053,0.010564501476015158,96,univariate_linear
passive,Gamma_h_to_s,membrane_capacitance_scale,-0.6049330547708002,-0.5704286489419425,0.5704286489419425,0.4447354033956096,0.6924060281848438,0.008528664527664981,96,univariate_linear
passive,Gamma_h_to_s,membrane_leak_scale,-0.48754800874067883,-0.47373846988605534,0.47373846988605534,0.33817588669436616,0.6047551516876757,0.009262512398690312,96,univariate_linear
passive,Gamma_h_to_s,synaptic_conductance_scale,0.14755950844201773,0.22683125339121,0.22683125339121,0.06792838092490643,0.3842141522276099,0.010454823129473954,96,univariate_linear
passive,Gamma_h_to_s,nmda_fraction,-0.09016691973190023,-0.08270482908301682,0.08270482908301682,0.013073747633631973,0.22671007049178074,0.01060996879985405,96,univariate_linear
passive,Gamma_h_to_s,hcn_density_scale,0.12500592253551307,0.1634291915355399,0.1634291915355399,0.029183694749377244,0.30725755154983964,0.010509866974240674,96,univariate_linear
passive,Gamma_h_to_s,na_density_scale,-0.01861669988599599,-0.014568638090070538,0.014568638090070538,0.007065459959896735,0.21066123037223206,0.010642861966683008,96,univariate_linear
passive,Gamma_h_to_s,kdr_density_scale,-0.12058072952241075,-0.07084915897992404,0.07084915897992404,0.0052008752354933884,0.2146951896601509,0.010558629733228596,96,univariate_linear
passive,Gamma_h_to_s,a_type_density_scale,-0.06858730993796515,-0.05817959848073793,0.05817959848073793,0.0051643381227314536,0.23682346698045637,0.010654282484980451,96,univariate_linear
passive,Gamma_h_to_s,calcium_density_scale,0.12635755618638755,0.12676342919153555,0.12676342919153555,0.014862643634918621,0.31150795535502257,0.010546946338381026,96,univariate_linear
passive,Gamma_h_to_s,active_Zin_50Hz_Mohm,0.020503528131969293,0.01112316874660879,0.01112316874660879,0.005606849969533057,0.2082503682166743,0.0105927613617519,96,univariate_linear
passive,Gamma_h_to_s,active_transfer_gain_50Hz,0.6461542499891887,0.5964867064568639,0.5964867064568639,0.4734777162862227,0.7122100773043444,0.008185025168127196,96,univariate_linear
passive,Gamma_h_to_s,active_dynamic_SMI_abs_50Hz,-0.5424567019003955,-0.5204150841020075,0.5204150841020075,0.33586558110810255,0.6476347362685976,0.009025989918551714,96,univariate_linear
