sample_id,neck_radius_um,neck_length_um,intracellular_resistivity_ohm_cm,head_diameter_um,dendritic_area_scale,membrane_capacitance_scale,membrane_leak_scale,synaptic_conductance_scale,nmda_fraction,hcn_density_scale,na_density_scale,kdr_density_scale,a_type_density_scale,calcium_density_scale,R_neck_Mohm,R_in_d_Mohm,SMI,SMI_class,Gamma_h_to_d,Gamma_h_to_s,A_h_mV,local_voltage_isolation,Zin_50Hz_Mohm,Ztransfer_50Hz_Mohm,transfer_gain_50Hz,electrotonic_distance_50Hz,dynamic_SMI_abs_50Hz,active_Gamma_h_to_d,active_Gamma_h_to_s,active_A_h_mV,active_local_voltage_isolation,active_Zin_50Hz_Mohm,active_transfer_gain_50Hz,active_dynamic_SMI_abs_50Hz,AMPA_only_A_h_mV,NMDA_delta_A_h_fraction
0.0,0.1457177801851353,0.6814091447693968,129.24070398647837,0.8881003543990331,1.3043606125939,0.8490448955100437,1.337266124094925,0.9612031755746169,0.11813087193851908,1.524025083008633,1.458149269666312,1.3922236364275073,0.48271231799334036,1.655489312591734,13.20177438562428,273.87791507532904,0.04820313599215615,low,0.9267917210203138,0.09163805376084835,12.935574832668987,0.07320827897968618,166.61860682728312,16.30413332161964,0.09785301673132168,2.324288755453598,0.07923349400772053,0.9274031019639146,0.0922489131065722,13.036963289764739,0.07259689803608538,166.01838034721675,0.09784403396277028,0.07951995651333074,12.982434475933696,0.004200199425779979
1.0,0.1121856787100883,0.6032906766765386,123.76295883335209,0.5690478797075833,1.0178916188250828,0.9285572685402358,0.8610158158808685,0.7691967986409156,0.19834337335808602,1.3925323415654305,0.4092695524454082,1.9597370010801987,1.655347267690085,0.6063677647979645,18.883938840484124,332.98326630906604,0.056711374868178996,low,0.8985870770298497,0.08831143422747265,11.179438481851363,0.10141292297015025,166.2438673744101,15.136479605143805,0.09104985251007076,2.396348092688242,0.11359179221904295,0.8982022522512013,0.08903608215616074,11.145113456451583,0.10179774774879868,165.54911266775824,0.09104329512757425,0.114068499288078,11.079480149170033,0.005923861625084115
2.0,0.08630116024310659,1.162392296231205,127.88851641042221,0.6216574560938701,1.470190801310288,1.0090059971882697,1.0931117601952505,1.069885076319295,0.20275417710091334,0.9441748472555641,0.16334428511005458,0.7114839565867488,0.6825512278443221,0.07447325943933901,63.53325859438694,297.72505501110453,0.21339574055000943,low,0.7193452589955767,0.06859416971335854,16.609539188266353,0.28065474100442334,164.23532988856377,13.697979313084092,0.08340458366892424,2.4840520110686413,0.3868428226587741,0.719275313025811,0.0697968555788271,16.675093828893836,0.28072468697418895,163.88232927597585,0.08340159034493491,0.38767607755560823,16.54105608190376,0.00810333671117374
3.0,0.12502724147625652,0.6208645851486607,135.79129669310345,0.7271523019413498,0.9080511508311553,1.0529723244794928,1.181182391538232,1.4432830715797929,0.7334229275973634,0.5343104384179691,0.25684476383324367,1.8654921107355633,0.33979485154483213,0.288182513649486,17.16760262120391,288.02256296489156,0.0596050616468424,low,0.9067761368665825,0.07922037864082065,18.33349812582572,0.09322386313341746,166.40571533620326,13.348424901971223,0.08021614446957123,2.523030481755213,0.10316714535025902,0.9069833198678865,0.08294867495755043,18.84494621368534,0.0930166801321135,165.98737186135634,0.08021296504929344,0.10342716092609398,18.301688764529256,0.029683460151993073
4.0,0.13353866697053637,0.9606816913502009,159.44255660250641,0.5805176722711154,1.2143846744818356,1.0271524400745928,0.5623875813033342,1.8119546192855152,0.20990963745396543,1.714175328500965,0.46206472909023283,1.2839825679949495,1.579223182608467,1.039385293271885,27.341341384426688,421.05509648693373,0.06493530564657386,low,0.8583976909089291,0.08959585500519418,21.984834299776775,0.14160230909107085,164.53611822998016,13.62565430918241,0.08281254265484232,2.491175747724387,0.16617227681408137,0.8596705345463863,0.09095655206147493,22.28443451297428,0.1403294654536137,163.87749664614094,0.08280858856860664,0.16684012109035676,22.05019413224448,0.010623052991051124
5.0,0.13075618098239553,0.9088994395977054,158.79884148484354,0.9372288521743968,1.2430429585572682,0.9702964325622339,0.9348747968000084,1.0788819234654619,0.17478706288527485,1.6114782373013234,1.5923544569249979,1.1644034028016077,1.4352188723299546,0.18616312866630016,26.87130989577898,319.85963132157303,0.08400969445488958,low,0.8605638834952057,0.08399730656840268,14.917784666612858,0.13943611650479426,165.24082541587,14.377052956691756,0.08700666388290118,2.4417705669057184,0.16261907327169653,0.8624270695562152,0.08546775985461257,15.163885908188595,0.13757293044378482,164.62202768147623,0.08700126898777148,0.1632303421008258,15.059686873584214,0.006919070461362232
6.0,0.11588717461236543,0.7252796154854685,143.719876127081,0.892365644597914,1.2718326824419135,1.1261027543075999,1.0176143786708602,1.0570924572332303,0.7510214074442059,0.9338602018211862,1.7479764582366464,0.8939885083368693,0.9414273103244727,0.7848314793963368,24.705957138145614,307.43448353705196,0.08036169805645128,low,0.8695648796940127,0.07552742987009449,14.248272279413229,0.13043512030598725,164.30012571465778,12.351638546946488,0.07517729212452183,2.5879060600566164,0.1503708961309791,0.871985351493267,0.08145452142935417,14.89242959538943,0.12801464850673305,163.90677168203112,0.07517495481357361,0.15073176589722373,14.44182628311326,0.031201269385372547
7.0,0.14108382086331323,1.0116630134142666,148.75877656066007,0.7033309838282413,1.1133270985679444,0.8744536632759179,1.4163734473138427,0.7773757671454627,0.07235555532248714,0.16947783469638744,0.8228956625987127,0.8001336689863794,1.212006792076373,0.20864767450722818,24.066568534345677,267.9252104834093,0.08982569609975524,low,0.8740909934061931,0.08206628126153787,11.514313969750209,0.12590900659380688,167.21320006555624,15.899821336891364,0.09508711830559914,2.35296177280534,0.14392744427419807,0.8744748360517794,0.0816352180120746,11.57211912080068,0.12552516394822055,167.00053374530876,0.09508413279656258,0.14411072823904514,11.545897927848749,0.0022710397334005316
8.0,0.12054554770050488,1.3282613996583783,170.14950628900326,0.957983345919792,1.1027767292997566,0.8168676200609281,1.1491430776309337,1.6435990328766197,0.14796436928380466,0.8706495474588989,0.5144223489964366,1.9940357317615593,0.8899492852652194,1.4576998984011968,49.50647716194389,291.3802249372331,0.16990335281884072,low,0.771578513352891,0.08428463304617413,22.682873425709627,0.22842148664710904,167.29381877540635,17.08979481849022,0.10215437093604421,2.2812701692453583,0.29592532183395753,0.7730916776032543,0.08242367479889395,23.036298901635764,0.22690832239674574,166.74747192649258,0.10214595546842639,0.29689491894526515,22.870913779728497,0.00723124241996204
9.0,0.13127036789672006,0.5850918294078454,152.00097694805976,0.8023533381388085,1.002235635806153,0.8444051107528331,1.606799636601015,1.9885287778687235,0.48350795920264666,1.9921115136505565,1.3755321003388865,1.8109898409859646,1.5849319468039436,1.6250722922012317,16.42809233566496,255.97950799929185,0.06417737288451389,low,0.9110328644543217,0.08932183311589101,23.195244888487018,0.08896713554567826,168.2230338125656,16.440715796531148,0.09773165674118933,2.3255297525476233,0.09765661671498073,0.9189816038655023,0.09049614698989573,25.55893701781708,0.08101839613449768,167.38351774337815,0.09771791645830832,0.09814641583080765,24.57023668982034,0.04023975594856055
