degeneracy_type,sample_a,sample_b,SMI_a,SMI_b,relative_SMI_difference,Gamma_h_to_d_a,Gamma_h_to_d_b,Gamma_h_to_d_abs_difference,A_h_mV_a,A_h_mV_b,A_h_relative_difference,max_morphology_relative_difference,radius_a_um,radius_b_um,length_a_um,length_b_um,rho_a_ohm_cm,rho_b_ohm_cm
same_SMI_different_morphology,0,12,0.04820313599215615,0.049163847967389526,0.019541024857749504,0.9267917210203138,0.8839106422449158,0.04288107877539804,12.935574832668987,10.210097299035333,0.21069628283935402,0.34124177324240945,0.1457177801851353,0.09599278648181209,0.6814091447693968,0.5920374911174713,129.24070398647837,106.09343897387537
same_transfer_different_SMI,0,13,0.04820313599215615,0.030942276545241496,0.3580858193484222,0.9267917210203138,0.9326181697417899,0.005826448721476085,12.935574832668987,20.23523777655397,0.36074016151877925,0.22966746918371597,0.1457177801851353,0.16424236172863121,0.6814091447693968,0.6103743975642183,129.24070398647837,167.77261613179994
similar_outputs_different_parameters,0,15,0.04820313599215615,0.06330196915191315,0.23852075001841666,0.9267917210203138,0.872071911388972,0.05471980963134182,12.935574832668987,12.310144954794648,0.048349600691482725,0.37551995943786726,0.1457177801851353,0.11154801795332014,0.6814091447693968,1.0911624079386408,129.24070398647837,87.6414426892878
similar_outputs_different_parameters,0,18,0.04820313599215615,0.03739651456262169,0.22418917788446308,0.9267917210203138,0.9479004420531195,0.0211087210328057,12.935574832668987,12.046370701653847,0.06874098310416335,0.3505141055595765,0.1457177801851353,0.14311743375184005,0.6814091447693968,0.44256562787043574,129.24070398647837,133.39583826373473
similar_outputs_different_parameters,0,23,0.04820313599215615,0.09199749726258308,0.47603861597916347,0.9267917210203138,0.8695067141750724,0.057285006845241404,12.935574832668987,12.71767652163,0.016844888136604574,0.4495711188961312,0.1457177801851353,0.13914777806450584,0.6814091447693968,1.2379603762848546,129.24070398647837,122.49414228395085
same_transfer_different_SMI,0,27,0.04820313599215615,0.01989044723877865,0.5873619666152982,0.9267917210203138,0.9514565311022675,0.024664810081953648,12.935574832668987,10.42880052759229,0.19378916959653006,0.33900343669617355,0.1457177801851353,0.14623441862647293,0.6814091447693968,0.6761247669460201,129.24070398647837,85.42766117402934
same_transfer_different_SMI,0,37,0.04820313599215615,0.025855657798518946,0.4636104629639386,0.9267917210203138,0.9408220248214387,0.01403030380112491,12.935574832668987,15.106726247933313,0.14372084193697177,0.29714919372933174,0.1457177801851353,0.12372649982990908,0.6814091447693968,0.4789289668013771,129.24070398647837,105.69443713772054
same_transfer_different_SMI,0,46,0.04820313599215615,0.0282552485120054,0.4138296621073942,0.9267917210203138,0.9452572358853714,0.018465514865057542,12.935574832668987,7.777798679025414,0.39872802100897226,0.3705652307360162,0.1457177801851353,0.15332988556397548,0.6814091447693968,0.42890260781229383,129.24070398647837,166.7829512547442
same_transfer_different_SMI,0,81,0.04820313599215615,0.02608875857074282,0.45877466198489425,0.9267917210203138,0.9548208829489696,0.028029161928655788,12.935574832668987,13.159293754435794,0.01700083043524996,0.4025733470496433,0.1457177801851353,0.13585341649338603,0.6814091447693968,0.4070919846493458,129.24070398647837,113.14890126293066
similar_outputs_different_parameters,0,81,0.04820313599215615,0.02608875857074282,0.45877466198489425,0.9267917210203138,0.9548208829489696,0.028029161928655788,12.935574832668987,13.159293754435794,0.01700083043524996,0.4025733470496433,0.1457177801851353,0.13585341649338603,0.6814091447693968,0.4070919846493458,129.24070398647837,113.14890126293066
same_transfer_different_SMI,1,7,0.056711374868178996,0.08982569609975524,0.36865087240516775,0.8985870770298497,0.8740909934061931,0.024496083623656628,11.179438481851363,11.514313969750209,0.029083407728728968,0.4036643935014587,0.1121856787100883,0.14108382086331323,0.6032906766765386,1.0116630134142666,123.76295883335209,148.75877656066007
similar_outputs_different_parameters,1,7,0.056711374868178996,0.08982569609975524,0.36865087240516775,0.8985870770298497,0.8740909934061931,0.024496083623656628,11.179438481851363,11.514313969750209,0.029083407728728968,0.4036643935014587,0.1121856787100883,0.14108382086331323,0.6032906766765386,1.0116630134142666,123.76295883335209,148.75877656066007
same_transfer_different_SMI,1,17,0.056711374868178996,0.09995138328191487,0.43261040511842214,0.8985870770298497,0.872289108165067,0.02629796886478275,11.179438481851363,14.935314405061433,0.2514761873333741,0.432450912957153,0.1121856787100883,0.11434217999954617,0.6032906766765386,1.0629753275085319,123.76295883335209,95.07966690494776
same_SMI_different_morphology,1,22,0.056711374868178996,0.05565440520149163,0.018637701327894156,0.8985870770298497,0.9151056798855763,0.016518602855726594,11.179438481851363,18.31854651243748,0.3897202229302952,0.32760555962064125,0.1121856787100883,0.12395144554148393,0.6032906766765386,0.8972273422370469,123.76295883335209,83.33497272897019
