parameter,output,baseline_parameter,low_parameter,high_parameter,baseline_output,low_output,high_output,normalized_sensitivity,abs_normalized_sensitivity
calcium_density_scale,Gamma_h_to_s,1.0,0.95,1.05,0.08356683751435459,0.08356683751435459,0.08356683751435459,0.0,0.0
calcium_density_scale,A_h_mV,1.0,0.95,1.05,13.681660764325947,13.681660764325947,13.681660764325947,0.0,0.0
calcium_density_scale,local_voltage_isolation,1.0,0.95,1.05,0.0902689275304619,0.0902689275304619,0.0902689275304619,0.0,0.0
calcium_density_scale,Zin_50Hz_Mohm,1.0,0.95,1.05,166.104348925641,166.104348925641,166.104348925641,0.0,0.0
calcium_density_scale,transfer_gain_50Hz,1.0,0.95,1.05,0.0845404828474499,0.0845404828474499,0.0845404828474499,0.0,0.0
calcium_density_scale,dynamic_SMI_abs_50Hz,1.0,0.95,1.05,0.09980858425824499,0.09980858425824499,0.09980858425824499,0.0,0.0
calcium_density_scale,active_Gamma_h_to_d,1.0,0.95,1.05,0.9102361021521511,0.9102356122691868,0.9102365920486485,1.0764014516204706e-05,1.0764014516204706e-05
calcium_density_scale,active_Gamma_h_to_s,1.0,0.95,1.05,0.08615702419831049,0.08615259913061031,0.08616144975116656,0.0010272662778925824,0.0010272662778925824
calcium_density_scale,active_A_h_mV,1.0,0.95,1.05,13.891694535969702,13.891650820371103,13.89173825278696,6.293862539968531e-05,6.293862539968531e-05
calcium_density_scale,active_Zin_50Hz_Mohm,1.0,0.95,1.05,165.66902520272018,165.6690592028785,165.6689912025758,-4.104587602108714e-06,4.104587602108714e-06
calcium_density_scale,active_transfer_gain_50Hz,1.0,0.95,1.05,0.08453693327121999,0.08453693354932561,0.08453693299311427,-6.579506960462371e-08,6.579506960462371e-08
